Response ID,Time Started,Date Submitted,Contact ID,SessionID,section,gender,prof,rotc,major,gradYr,formalExp,informalExp,VMItrain_1,VMItrain_2,VMItrain_3,VMItrain_4,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,uh_1,uh_2,uh_3,uh_4,uh_5,uh_6,uh_7,uh_8,uh_9,uh_10,uh_11,uh_12,uh_13,uh_14,uh_15,uh_16,uh_17,uh_18,uh_19,uh_20,uh_21,uh_22,uh_23,uh_24,uh_25,ili_1,ili_2,ili_3,ili_4,ili_5,ili_6,ili_7,ili_8,ili_9,ili_10,ili_11,ili_12,ili_13,ili_14,ili_15,bfi_1,bfi_2R,bfi_3,bfi_4,bfi_5,bfi_6R,bfi_7,bfi_8R,bfi_9R,bfi_10,bfi_11,bfi_12R,bfi_13,bfi_14,bfi_15,bfi_16,bfi_17,bfi_18R,bfi_19,bfi_20,bfi_21R,bfi_22,bfi_23R,bfi_24R,bfi_25,bfi_26,bfi_27R,bfi_28,bfi_29,bfi_30,bfi_31R,bfi_32,bfi_33,bfi_34R,bfi_35R,bfi_36,bfi_37R,bfi_38,bfi_39,bfi_40,bfi_41R,bfi_42,bfi_43R,bfi_44,ffmq_1,ffmq_2,ffmq_3R,ffmq_4R,ffmq_5,ffmq_6,ffmq_7R,ffmq_8R,ffmq_9R,ffmq_10,ffmq_11,ffmq_12,ffmq_13R,ffmq_14R,ffmq_15,uh-vmi_1,uh-vmi_2,uh-vmi_3,uh-vmi_4,uh-vmi_5,uh-vmi_6,uh-vmi_7,uh-vmi_8,uh-vmi_9,auth_1,auth_2,auth_3,auth_4,auth_5,auth_6,auth_7,auth_8,auth_9,auth_10,auth_11,auth_12,auth_13,auth_14,grt_1,grt_2,grt_3,grt_4,hum_1,grt_5,grt_6,grt_7,grt_8,hum_2,chalFreq,leadChal_1,leadChal_2,leadChal_3,leadChal_4,leadChal_5,leadChal_6,leadChal_7,leadChal_8,leadChal_9,leadChal_10,leadChal_11,leadChal_12,leadChal_13,sc-hw_1R,sc-hw_2R,sc-hw_3R,sc-hw_4,sc-hw_5R,sc-hw_6R,sc-hw_7R,sc-hw_8,sc-hw_9R,sc-hw_10R,dis_1R,dis_2R,dis_3,dis_4R,dis_5,dis_6,tfl_1,tfl_2,tfl_3,tfl_4,tfl_5,tfl_6,tfl_7,tfl_8,tfl_9,tfl_10,tfl_11,tfl_12,tfl_13R,tfl_14,tfl_15,tfl_16,tfl_17,tfl_18,brs_1,brs_2,brs_3,brs_4,brs_5,brs_6,narc_1,narc_2,narc_3,narc_4,narc_5,narc_6,narc_7,narc_8,narc_9,narc_10,narc_11,narc_12,narc_13,narc_14,sc-now_1R,sc-now_2R,sc-now_3R,sc-now_4,sc-now_5R,sc-now_6R,sc-now_7R,sc-now_8,sc-now_9R,sc-now_10R,gpa,uh-now,cumTime,currentDate,currentTime
31,9/1/17 14:34,9/5/17 22:17,104836808,a27e430a1966e75551f5fe49fefdbc2b,PS-344-06,1,Jarman,MSX,PS,2019,2,1,4,4,4,4,3,1,4,4,4,5,4,5,5,4,4,5,4,5,5,3,4,5,3,3,5,7,7,7,6,6,7,7,7,7,6,7,7,7,4,6,7,5,6,6,7,5,7,7,6,7,6,6,7,6,7,6,7,7,7,7,6,6,6,7,5,2,3,5,5,4,2,5,3,6,6,5,2,5,4,5,3,7,5,4,6,6,6,4,7,4,5,6,5,2,3,3,5,5,7,6,2,5,5,5,5,6,6,5,2,1,1,1,3,3,3,3,3,3,3,3,1,3,2,2,8,8,8,8,8,8,8,7,8,6,6,5,4,6,7,7,7,6,7,6,6,6,6,3,4,4,3,4,4,4,4,4,4,4,6,6,6,7,6,6,6,6,6,6,5,6,6,7,7,6,7,6,6,6,4,4,5,8,2,8,5,2,8,5,5,6,6,6,6,6,5,6,5,6,6,2,6,6,6,6,6,6,2,6,2,6,2,0,1,1,1,1,1,0,0,1,1,0,0,1,0,6,6,6,8,1,5,5,4,2,2,2.666,9,373386,9/5/17,10:17 PM
32,9/1/17 14:59,9/6/17 0:10,104836789,03bb7ad93fe6436a4e23cc32ada3a6c2,PS-344-03,1,Gornick,AS,CH,2019,1,2,3,3,3,4,3,5,5,5,2,2,4,4,5,3,4,3,5,3,5,4,4,4,2,5,4,2,2,1,2,4,3,1,5,2,5,5,5,8,1,7,7,1,4,2,5,5,4,8,3,2,6,6,7,6,6,6,6,7,7,7,7,7,7,6,6,3,5,4,6,5,6,5,5,2,6,3,5,6,7,6,3,5,6,7,6,7,3,2,2,6,5,6,3,5,1,5,5,6,2,7,2,5,6,7,6,7,3,5,1,2,1,3,3,2,1,4,3,3,2,3,1,3,4,3,3,5,4,2,6,3,1,5,5,5,6,3,5,6,3,6,3,6,7,3,2,6,2,4,2,4,5,4,3,4,2,4,4,2,5,3,5,3,2,5,5,3,5,5,3,3,4,6,4,3,4,5,6,5,5,4,4,6,6,3,8,3,6,5,4,5,3,6,5,5,5,6,3,5,5,5,3,5,5,6,6,3,6,2,5,3,5,0,1,1,0,1,1,0,0,1,1,1,0,1,1,6,2,4,2,6,8,5,4,6,5,3.2,4,378660,9/6/17,12:10 AM
33,9/1/17 15:10,9/11/17 21:03,104836834,67b024fbf0fc87eff9696cf9000284bd,PS-344-09,1,Barber,MS,ME,2019,4,2,4,4,4,4,4,1,5,5,1,2,4,5,5,1,2,3,4,5,5,4,4,5,5,5,4,0,6,6,6,3,4,8,4,6,6,5,2,4,2,4,2,0,6,4,5,3,3,8,3,1,6,6,7,7,4,3,5,6,4,7,7,7,6,6,5,1,6,6,7,7,5,2,6,2,7,4,1,5,5,1,3,4,4,6,6,6,7,5,3,7,4,5,6,5,5,6,4,7,3,5,1,6,5,6,2,3,1,5,3,0,0,2,3,1,4,3,3,4,2,3,1,4,3,2,8,4,4,7,6,4,6,2,3,7,5,1,6,6,5,6,5,7,4,3,6,5,4,4,3,5,3,5,4,5,3,4,5,4,5,7,6,5,5,6,6,6,6,5,6,5,6,7,7,7,3,6,7,8,3,5,2,8,2,7,2,2,6,4,6,4,3,7,6,4,6,4,3,7,6,4,6,4,3,7,6,5,3,5,3,5,3,0,0,1,1,1,1,0,0,1,1,0,1,1,0,8,8,8,8,8,8,8,0,8,8,3.1,1,885182,9/11/17,9:03 PM
34,9/1/17 15:19,9/2/17 13:54,104219546,24cafc218b5d084bbfd69f094f79c5b3,PS-344-01,1,Gornick,MS,HI,2019,2,3,3,4,4,4,3,1,5,2,1,4,4,4,4,3,5,5,3,2,5,4,3,4,5,5,5,6,7,7,7,5,6,5,7,7,5,5,2,7,6,5,2,2,4,1,3,3,6,7,7,4,6,6,6,6,5,7,6,6,4,6,6,6,4,6,6,6,2,6,5,5,3,6,6,6,6,6,2,6,4,3,6,5,5,4,6,2,5,2,6,5,5,3,6,5,6,3,6,5,6,6,7,2,6,5,6,7,7,6,6,2,3,1,2,3,3,1,2,1,3,3,3,1,2,3,7,7,7,5,6,7,7,8,5,6,6,3,5,6,5,6,6,5,6,6,5,6,6,3,4,4,4,4,3,2,4,4,4,3,6,6,6,5,4,5,6,5,6,5,5,6,5,5,3,2,3,4,6,5,7,7,2,8,2,5,3,1,8,6,6,5,6,6,6,5,6,4,6,6,6,3,5,6,6,6,6,6,3,6,2,6,3,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,1,8,2,4,2,6,8,1,2.9,8,81301,9/2/17,1:54 PM
35,9/1/17 15:21,9/11/17 12:26,104836795,0abe57a3caed77fd3e1988a1079a70a5,PS-344-04,2,Jarman,MCX,BI,2019,1,2,4,3,4,4,4,2,5,3,5,5,2,3,4,2,1,5,3,3,5,4,4,5,4,2,2,2,5,4,6,4,4,4,3,2,0,4,4,4,0,4,2,2,4,3,4,4,2,6,4,4,7,6,7,7,7,3,7,7,6,7,7,7,7,7,7,3,1,7,2,7,3,7,5,6,7,6,1,7,2,5,7,7,1,5,7,4,7,1,4,7,6,1,6,5,7,1,7,7,6,5,7,1,7,2,6,1,7,5,7,3,4,2,1,3,2,2,2,0,2,3,2,2,0,2,8,6,2,0,4,4,0,4,4,7,7,7,7,3,7,6,7,3,7,7,7,7,7,3,1,1,5,5,2,3,4,5,5,4,6,7,6,5,7,7,6,6,7,6,6,7,6,4,2,0,6,4,8,2,8,0,0,9,3,7,2,1,9,6,7,7,3,5,7,5,7,5,7,7,6,3,7,7,7,7,7,5,2,5,3,2,2,1,1,1,1,0,0,0,1,0,1,0,0,1,0,2,0,0,8,0,0,2,2,0,0,2.6,7,853496,9/11/17,12:26 PM
36,9/1/17 15:25,9/12/17 21:14,104219235,f0c43782e543dc0b2a315d576cbf5f0c,PS-344-05,2,Jarman,MS,PS,2018,3,1,1,2,3,2,3,4,4,4,3,4,2,2,5,4,4,4,3,5,3,4,4,5,4,3,4,4,3,6,7,7,2,7,8,4,2,3,3,4,5,4,5,2,2,4,6,7,6,6,2,4,6,7,7,6,5,4,6,6,7,7,7,7,6,7,5,4,5,6,4,3,5,6,3,5,3,3,2,6,5,3,3,6,3,3,3,6,6,3,6,3,5,5,5,5,3,6,3,6,6,7,3,5,6,3,5,6,5,5,5,3,3,2,2,3,2,1,1,2,2,1,2,2,1,3,2,7,8,0,4,6,3,7,5,6,6,3,5,6,2,7,5,6,3,5,6,6,4,2,3,2,5,4,2,4,3,5,5,4,7,7,6,7,7,5,6,6,3,3,6,7,6,6,4,2,6,3,5,4,3,2,4,9,3,3,5,1,9,6,6,5,3,5,6,6,5,5,5,6,6,2,5,5,6,7,6,7,6,6,2,4,2,1,1,1,0,0,1,0,0,1,1,1,0,1,1,6,6,4,5,5,4,6,1,2,4,2.4,6,971323,9/12/17,9:14 PM
37,9/1/17 15:48,9/5/17 17:50,104836846,377dc4e3eb391a835397587cfd2df24f,PS-344-10,1,Cotting,MSC,UC,0,4,3,0,0,1,1,4,1,5,2,2,5,4,5,5,3,3,4,4,5,4,3,5,4,4,2,4,6,4,6,7,3,4,6,2,4,7,7,4,7,4,8,6,4,6,5,5,4,5,8,5,6,6,5,6,6,6,4,6,6,7,7,7,5,6,6,6,6,3,7,1,5,2,6,1,6,6,6,1,7,3,5,6,5,1,3,6,3,7,1,6,5,6,5,7,1,1,2,7,6,5,2,6,1,7,2,6,2,6,2,4,2,1,0,1,3,0,1,0,1,3,0,2,0,1,3,8,8,7,6,8,8,6,8,7,6,7,5,5,6,7,5,4,5,7,6,6,7,5,1,4,2,5,5,2,1,5,5,5,4,6,7,6,6,6,6,6,7,7,7,6,7,6,4,3,2,5,5,6,2,5,1,1,7,2,5,3,1,6,7,5,6,5,6,7,7,7,6,5,6,7,1,6,5,5,6,7,6,3,6,2,7,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,4,1,2,6,0,4,0,6,0,0,,9,352936,9/5/17,5:49 PM
38,9/1/17 16:04,9/12/17 22:09,104216535,9529c05d1ad418d21f84a96cacd7c74f,PS-344-05,1,Jarman,NS,EC,2018,1,2,3,3,3,3,3,4,3,4,2,3,2,3,5,3,4,4,5,3,3,4,2,5,3,5,4,3,3,2,1,4,2,5,3,3,2,1,1,5,2,6,6,3,3,5,3,5,3,5,1,2,5,5,6,5,6,6,6,6,6,6,5,5,6,6,6,5,7,7,3,3,5,6,2,6,7,5,4,7,4,7,5,6,4,5,5,5,7,3,4,5,6,4,7,6,6,6,6,5,7,7,6,3,7,6,6,3,6,5,5,3,2,2,1,1,2,2,2,2,1,3,1,2,2,1,8,8,8,4,8,8,4,2,8,5,6,6,5,5,5,5,5,5,4,5,4,4,4,5,3,4,5,4,5,1,3,5,4,0,6,7,7,7,4,5,6,3,3,5,4,4,4,3,3,1,4,5,5,4,4,2,2,6,4,1,8,4,5,6,6,6,4,6,6,6,6,5,6,6,6,2,4,4,4,5,5,6,2,6,2,6,2,0,0,0,1,1,0,0,0,0,1,1,1,1,1,2,3,0,6,2,4,2,7,0,0,3.2,7,972311,9/12/17,10:09 PM
39,9/1/17 16:27,9/1/17 17:10,104836762,fe5905c5b5b86cb946c96d4b221367c1,PS-344-01,1,Gornick,MSX,BI,2019,3,4,1,1,2,2,3,1,4,1,4,2,4,5,5,5,5,4,1,3,2,4,1,5,3,2,5,7,8,8,7,8,8,8,7,8,8,7,8,8,8,8,8,8,6,7,7,8,6,8,8,8,7,7,7,6,7,7,7,6,7,7,7,6,7,7,4,3,1,6,1,6,7,6,5,7,7,6,1,6,1,6,4,7,2,1,5,6,7,6,7,6,1,5,6,1,5,5,5,6,7,6,3,5,6,1,6,6,5,2,2,0,4,1,0,4,3,1,2,2,4,3,4,2,2,4,7,7,7,7,4,7,6,7,7,6,6,2,4,6,6,6,6,6,6,6,6,6,5,2,5,2,3,4,3,2,5,4,4,4,6,5,6,7,6,6,6,4,7,5,4,7,5,6,4,0,8,4,2,6,4,0,4,7,1,9,1,1,7,6,6,4,5,6,7,6,6,5,5,6,6,2,5,4,6,6,7,6,2,6,2,6,2,0,1,0,0,1,0,1,1,0,0,1,0,1,0,2,0,0,8,0,0,2,4,0,0,2.097,9,2577,9/1/17,5:09 PM
40,9/1/17 17:03,9/12/17 23:47,104219183,6de9c75406094e27eb1b614776f18ab0,PS-344-02,1,Gornick,MSC,BI,2018,2,2,2,2,2,2,2,4,2,4,1,1,1,2,3,1,5,3,2,3,2,1,3,3,3,1,1,2,6,6,8,8,6,6,8,6,6,6,8,8,6,8,6,6,8,6,6,8,8,8,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,7,5,3,5,2,6,4,5,4,5,5,5,3,5,4,6,4,6,5,3,5,4,5,3,7,6,5,4,5,3,5,4,5,5,6,4,5,4,6,2,5,3,4,2,4,2,3,1,1,3,1,1,2,1,3,2,3,2,1,2,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,6,5,5,5,6,6,2,4,2,4,4,2,2,4,4,4,3,6,6,6,6,6,6,6,6,6,6,6,7,6,3,2,2,4,2,3,2,4,2,2,9,1,9,3,1,7,6,5,6,5,5,6,6,6,5,6,5,5,2,5,5,5,5,6,6,2,6,2,6,2,1,0,0,0,1,0,0,1,0,1,1,1,1,0,2,2,2,4,2,2,2,3,1,1,,8,974639,9/12/17,11:47 PM
