"auth_bp","auth_imp","auth_rt","auth_sa","auth","dis","ffmq_aa","ffmq_de","ffmq_nj","ffmq_nr","ffmq_ob","ffmq","grt","ili_champ","ili_emb","ili_ent","ili_pro","ili","leadChal_bp1","leadChal_bp2","leadChal_bp3","leadChal","sc.hw","tfl_id","tfl_insp","tfl_int","tfl_pers","tfl","tfl_sup","tfl_vis","uh_hi_p1","uh_hi_p2","uh_hi","uh_lo_p1","uh_lo_p2","uh_lo","uh","uh.vmi"
6.25,6,6.33333333333333,5.66666666666667,6.07142857142857,2.8,1.66666666666667,1,1.33333333333333,2.66666666666667,2.33333333333333,1.66666666666667,3,6.5,6.33333333333333,6.25,6.5,6.4,5.75,6,6.2,6,2.8,6,5.33333333333333,6,6,5.66666666666667,5.66666666666667,5.33333333333333,7,6.16666666666667,6.54545454545455,6.25,6.4,6.33333333333333,6.44,7.88888888888889
3.75,6,3.33333333333333,4.66666666666667,4.5,5.2,1,0.666666666666667,0.666666666666667,2.33333333333333,2,1.16666666666667,2.75,6.25,6.66666666666667,6.5,6.5,6.46666666666667,4.25,4.25,3.4,3.92307692307692,3.6,5.33333333333333,4,5.33333333333333,5.66666666666667,4.53333333333333,3.66666666666667,4,3,2.16666666666667,2.54545454545455,4,5.6,4.88888888888889,3.76,3.77777777777778
3.5,5.75,6,5,5,2.6,1,0.666666666666667,0.666666666666667,1.66666666666667,2.33333333333333,1,2.375,5.5,6.66666666666667,6,5,5.73333333333333,6,5.5,5.6,5.69230769230769,2.1,6,6,4,7,4.73333333333333,3,3.66666666666667,4.6,3.83333333333333,4.18181818181818,4.5,3.8,4.11111111111111,4.04,4.88888888888889
5,5.75,5.66666666666667,5.66666666666667,5.5,2.2,2.66666666666667,3,2.33333333333333,3,2.66666666666667,2.75,3.5,6.25,6,6,4.75,5.73333333333333,5.5,5.25,5.4,5.38461538461539,4,6,5.66666666666667,5,6,5.53333333333333,6,5,5.6,5.5,5.54545454545455,3,5.2,4.22222222222222,5.04,6.55555555555556
7,5,7,6.66666666666667,6.35714285714286,1.8,2,2.66666666666667,3.66666666666667,2.33333333333333,2.66666666666667,2.66666666666667,3.75,5.75,7,7,6.75,6.6,6.25,6.5,6.2,6.30769230769231,5.8,6.66666666666667,7,6.33333333333333,6.33333333333333,6.06666666666667,5.66666666666667,5,3,3.16666666666667,3.09090909090909,2.75,4,3.44444444444444,3.4,3.55555555555556
3,6,5.66666666666667,5.66666666666667,5,2.4,2.33333333333333,2.66666666666667,2.33333333333333,2.66666666666667,2,2.5,3.75,6.25,6.33333333333333,6.25,6,6.2,5.25,6.25,6,5.84615384615385,4.3,6,5.33333333333333,5,6,5.33333333333333,4.66666666666667,5.66666666666667,5.8,3.5,4.54545454545455,2.75,5.4,4.22222222222222,4.52,4.66666666666667
6,6.25,5.33333333333333,5.33333333333333,5.78571428571429,2.8,4,2,3,3,0.666666666666667,3,4.625,5.5,5.66666666666667,6.25,6.25,5.93333333333333,6.25,6,6.8,6.38461538461539,5,7,6,5.66666666666667,6,5.86666666666667,5,6.66666666666667,4.6,4.83333333333333,4.72727272727273,5.5,6.2,5.88888888888889,5.32,7.33333333333333
4.75,6,6,5.33333333333333,5.5,2,2.33333333333333,3.66666666666667,2.66666666666667,4,2,3.16666666666667,4,7,6,6.25,7,6.6,5.5,6,5.6,5.69230769230769,5,6.66666666666667,5.66666666666667,4.33333333333333,6,5.4,5.33333333333333,5.66666666666667,7.4,7.83333333333333,7.63636363636364,7.25,7.8,7.55555555555556,7.6,6.55555555555556
5.5,5.75,5.66666666666667,5.33333333333333,5.57142857142857,2,2.33333333333333,3,3,2.66666666666667,1.66666666666667,2.75,4,6.25,6,6.5,6.25,6.26666666666667,6,6,6.2,6.07692307692308,5.4,5.66666666666667,5.33333333333333,5.33333333333333,5,5.33333333333333,5.33333333333333,5.66666666666667,5.6,6,5.81818181818182,7,7.6,7.33333333333333,6.64,6
6.5,5.25,5.66666666666667,5.66666666666667,5.78571428571429,4.2,1.33333333333333,2,2.33333333333333,2.33333333333333,1.66666666666667,2,4.125,5.5,4.66666666666667,6.25,5.5,5.53333333333333,5,5,4.8,4.92307692307692,6.3,5.66666666666667,5.66666666666667,4.66666666666667,6,5.4,5.66666666666667,5,5.6,5.66666666666667,5.63636363636364,6.5,7.4,7,6.2,7.44444444444444
