"auth_bp","auth_imp","auth_rt","auth_sa","auth","dis","ffmq_aa","ffmq_de","ffmq_nj","ffmq_nr","ffmq_ob","ffmq","grt","ili_champ","ili_emb","ili_ent","ili_pro","ili","leadChal_bp1","leadChal_bp2","leadChal_bp3","leadChal","sc.hw","tfl_id","tfl_insp","tfl_int","tfl_pers","tfl","tfl_sup","tfl_vis","uh_hi_p1","uh_hi_p2","uh_hi","uh_lo_p1","uh_lo_p2","uh_lo","uh","uh.vmi"
5,5,5,5,5,4.4,1.33333333333333,2.33333333333333,1.66666666666667,2.66666666666667,2.66666666666667,2,3,5.25,5.33333333333333,5.75,5.25,5.4,5.25,5.25,5.2,5.23076923076923,5.5,6,5.66666666666667,5.66666666666667,5,5.13333333333333,5.66666666666667,3.66666666666667,6,6,6,6,6,6,6,6
4.75,4,4.66666666666667,4.33333333333333,4.42857142857143,3.6,1.33333333333333,0.666666666666667,3,1,1.66666666666667,1.5,4.25,5,5.33333333333333,5.25,5,5.13333333333333,4.75,4.5,4.2,4.46153846153846,4.5,4.33333333333333,3.66666666666667,3.66666666666667,5.66666666666667,3.86666666666667,3,3.33333333333333,4.6,5.5,5.09090909090909,5.25,5.2,5.22222222222222,5.15,2.44444444444444
6,5.75,6.33333333333333,5.33333333333333,5.85714285714286,3.2,2,3,2.66666666666667,3.33333333333333,3.33333333333333,2.75,3.625,7,6.66666666666667,6.5,7,6.8,4.5,5.25,5.8,5.23076923076923,4.6,6,4.66666666666667,5,6,5.06666666666667,4.66666666666667,5,5.4,6.66666666666667,6.09090909090909,6,4.6,5.22222222222222,5.7,6.55555555555556
4.25,5.75,5.66666666666667,5,5.14285714285714,3,3,1.33333333333333,3,2.66666666666667,1.66666666666667,2.5,3.875,6.25,5,6,5.75,5.8,5.25,5.5,5.6,5.46153846153846,6,6.66666666666667,5.66666666666667,5.33333333333333,5.33333333333333,5.33333333333333,3.66666666666667,6.66666666666667,4.8,5.5,5.18181818181818,5.75,4.2,4.88888888888889,5.05,6.33333333333333
4.5,5.75,5.33333333333333,5.33333333333333,5.21428571428571,4.4,1.33333333333333,0,2.33333333333333,1,1.66666666666667,1.16666666666667,3.5,6.25,5.66666666666667,6.25,6.25,6.13333333333333,5,4.25,4.4,4.53846153846154,5.2,6,5,4.66666666666667,6,5,4.66666666666667,4.66666666666667,3,2.83333333333333,2.90909090909091,4,4,4,3.4,5.33333333333333
5.25,5.75,6.33333333333333,6,5.78571428571429,3.8,1,2.33333333333333,1,3,3,1.83333333333333,3.125,6,6,6,6,6,5.75,5.5,6,5.76923076923077,4.4,6,6,5.66666666666667,6,5.6,6,4.33333333333333,7,7,7,7,7,7,7,7.22222222222222
7,7,7,7,7,4.4,2.66666666666667,2.33333333333333,3.33333333333333,1.33333333333333,3,2.41666666666667,4.125,5.75,6.33333333333333,6,6,6,6,6,6.2,6.07692307692308,6.7,7,7,7,7,6.93333333333333,7,6.66666666666667,5,6,5.54545454545455,6,5.6,5.77777777777778,5.65,6.22222222222222
6,6,6,6,6,3.4,2.33333333333333,2.33333333333333,2.33333333333333,2,2.33333333333333,2.25,3.375,6.25,5.66666666666667,6.75,6.75,6.4,6,5.75,6,5.92307692307692,3,5.66666666666667,5,4.33333333333333,5.66666666666667,5.13333333333333,5,5.66666666666667,7,7.83333333333333,7.45454545454545,8,5,6.33333333333333,6.95,6.88888888888889
7,7,6.66666666666667,7,6.92857142857143,4.6,3,1.66666666666667,3.66666666666667,1.66666666666667,3,2.5,4,7,7,7,7,7,6,6.25,6.6,6.30769230769231,5.2,6.66666666666667,6,6,4.66666666666667,5.33333333333333,4.33333333333333,5.66666666666667,5.8,6.5,6.18181818181818,6.25,4.8,5.44444444444444,5.85,6.33333333333333
4.5,4,4.66666666666667,5,4.5,4.4,1.33333333333333,2.33333333333333,1,0.333333333333333,3.33333333333333,1.25,2.375,5.75,6,5.5,6,5.8,6.75,7,6.6,6.76923076923077,2.1,7,5.33333333333333,4.66666666666667,5.66666666666667,5.2,5.33333333333333,5,5.2,5,5.09090909090909,5.25,4,4.55555555555556,4.85,2.44444444444444
