"auth_bp","auth_imp","auth_rt","auth_sa","auth","dis","ffmq_aa","ffmq_de","ffmq_nj","ffmq_nr","ffmq_ob","ffmq","grt","har","ili_champ","ili_emb","ili_ent","ili_pro","ili","leadChal_emb","leadChal_func","leadChal_pers","leadChal","lnr","mt","sc.hw","tfl_id","tfl_insp","tfl_int","tfl_pers","tfl","tfl_sup","tfl_vis","uh_hi","uh_lo","uh","uh.vmi"
7,6.25,5.33333333333333,5,6,4.2,2.33333333333333,3.66666666666667,3,4,3.66666666666667,3.25,3.25,2.46666666666667,6.5,2,6.25,5.5,5.26666666666667,2.5,4.2,6,4.23076923076923,2.125,3.75,2.4,6,5,4.33333333333333,7,5.06666666666667,7,2,4.36363636363636,4.33333333333333,4.44,4.77777777777778
4.75,5.75,5.33333333333333,5,5.21428571428571,6.6,2,3,2.66666666666667,3.66666666666667,3,2.83333333333333,2.5,2,5.25,4.33333333333333,5.25,5.25,5.06666666666667,2.75,4.4,4.75,4,1.75,3,0.7,5,5.66666666666667,3,6,4.86666666666667,5,4.66666666666667,3.81818181818182,4,4,4.55555555555556
6.25,5.5,6.33333333333333,5.66666666666667,5.92857142857143,4.8,3,2.66666666666667,3.66666666666667,4,3.33333333333333,3.33333333333333,4.125,2.6,5.5,6,6.75,6,6.06666666666667,5.25,5.4,5.75,5.46153846153846,3,3.375,2.4,5.66666666666667,6,5,5.33333333333333,5.66666666666667,6,6,3.90909090909091,3.77777777777778,3.8,3.11111111111111
4.75,6,5,3.66666666666667,4.92857142857143,4.6,2.66666666666667,1.33333333333333,1,1.66666666666667,3.66666666666667,1.66666666666667,3,1.93333333333333,5.25,4.66666666666667,5.25,5.25,5.13333333333333,3.75,5,4.75,4.53846153846154,3,3,1.6,5.66666666666667,5.66666666666667,4.33333333333333,6,5.26666666666667,5,5.33333333333333,1.72727272727273,3.66666666666667,2.8,3.55555555555556
5.5,5.75,6,6,5.78571428571429,4.2,3.33333333333333,3.33333333333333,1.66666666666667,3.33333333333333,4,2.91666666666667,4.5,3.13333333333333,5.75,5.66666666666667,5.75,6,5.8,5.75,5.8,6,5.84615384615385,3.625,4.5,3.3,6,5.66666666666667,5.33333333333333,6,5.8,6,6,3.27272727272727,4,3.6,4.55555555555556
7,6.75,5.66666666666667,6.66666666666667,6.57142857142857,4.4,1.33333333333333,3.33333333333333,2,3.66666666666667,4,2.58333333333333,3.5,3.46666666666667,6.5,5.33333333333333,6.25,6.5,6.2,6.5,6.2,6.5,6.38461538461539,3.125,4.625,2.8,7,6.33333333333333,5.66666666666667,7,6.53333333333333,7,6.66666666666667,2.90909090909091,3.22222222222222,3.24,3.66666666666667
5,5.25,6.33333333333333,5,5.35714285714286,4.4,3,2.33333333333333,3.66666666666667,3.66666666666667,1.66666666666667,3.16666666666667,3.625,2.13333333333333,5.25,4.66666666666667,6,5.5,5.4,4.5,5.8,6,5.46153846153846,2.375,4,1.7,6.66666666666667,4.66666666666667,5.33333333333333,5.33333333333333,5,3.66666666666667,6,3.72727272727273,2.44444444444444,3.16,3.44444444444444
5.75,6,6,6,5.92857142857143,5.4,2.33333333333333,2.33333333333333,2.33333333333333,3.66666666666667,3.33333333333333,2.66666666666667,3.25,2.53333333333333,5.75,5.66666666666667,5.75,6,5.8,5.5,6,6,5.84615384615385,2.875,3.75,1.6,6,5.66666666666667,5.66666666666667,6,5.6,5,5.66666666666667,2.72727272727273,3.22222222222222,2.92,3.55555555555556
7,6.25,6.33333333333333,6.33333333333333,6.5,5.4,3,2.33333333333333,3.33333333333333,4,2.66666666666667,3.16666666666667,3.75,2,5.5,7,7,6.5,6.46666666666667,5.5,6.2,6.25,6,2.625,3.375,2,7,6.66666666666667,5.33333333333333,6.33333333333333,6,5.33333333333333,6.33333333333333,2.90909090909091,3.22222222222222,3.12,3.33333333333333
6,6,6,6,6,4,1.33333333333333,4.66666666666667,4,4,5,3.5,3.875,3.33333333333333,6.25,5.66666666666667,6,6,6,5.25,5.2,5,5.15384615384615,3.625,4.5,2.9,6,6.33333333333333,6,7,6.46666666666667,6,7,3.90909090909091,4.66666666666667,4.32,4.44444444444444
3.25,5.75,5,5,4.71428571428571,4.2,1.33333333333333,3.33333333333333,1.33333333333333,3.66666666666667,4.66666666666667,2.41666666666667,3.5,2.4,4.25,5,5.25,4.75,4.8,5.25,5,5,5.07692307692308,3.25,3.625,1.8,5,4.33333333333333,4.66666666666667,4,4.46666666666667,3.66666666666667,5.66666666666667,2.54545454545455,3.55555555555556,3.12,3.44444444444444
6,4,5.33333333333333,4.66666666666667,5,5.8,1.66666666666667,3.66666666666667,1.33333333333333,4.33333333333333,4.33333333333333,2.75,3.375,2.33333333333333,5.25,4.66666666666667,5.5,5.75,5.33333333333333,3,2.2,5.25,3.38461538461538,2,4.25,1.9,6.33333333333333,6,4.66666666666667,6.66666666666667,5.53333333333333,6,4.33333333333333,2.90909090909091,3.77777777777778,3.28,3.11111111111111
5.25,4.25,4.66666666666667,4.33333333333333,4.64285714285714,4.4,1.33333333333333,2.33333333333333,2,3.33333333333333,3,2.25,3.625,2.66666666666667,4.25,4.66666666666667,5.25,5,4.8,4.75,5.2,5.75,5.23076923076923,3.5,3.75,3.4,5.33333333333333,5,4,4.66666666666667,4.86666666666667,5,5.66666666666667,4.09090909090909,4,4,3.88888888888889
3.75,4.75,6,4.66666666666667,4.71428571428571,5.8,1.66666666666667,2.66666666666667,1.33333333333333,3.33333333333333,3.33333333333333,2.25,3.375,2.4,5,4.66666666666667,5.25,5,5,4.75,4.8,5,4.84615384615385,2.75,3.375,1.9,4.33333333333333,4.66666666666667,5,5,4.73333333333333,4.33333333333333,4.66666666666667,2.81818181818182,2.88888888888889,2.92,3.55555555555556
6.25,5.5,6,5,5.71428571428571,4.2,3,4,2,3,4.66666666666667,3,3.75,2.73333333333333,6,6,6.25,5.75,6,6.25,5.8,6,6,3.875,4.75,3,5.33333333333333,6,5.33333333333333,6,5.93333333333333,6.33333333333333,6,2.72727272727273,3.88888888888889,3.24,4.33333333333333
5.5,6.25,6,5.66666666666667,5.85714285714286,4.6,2.66666666666667,3.66666666666667,2.33333333333333,3.66666666666667,4,3.08333333333333,4.125,1.93333333333333,5.75,6,6,6,5.93333333333333,3,3.6,4.5,3.69230769230769,2.375,4,2.2,6.33333333333333,6,5,6,5.73333333333333,6,5.66666666666667,2.81818181818182,4.22222222222222,3.48,3.33333333333333
7,6.5,6,4,6,4.4,2.66666666666667,1.66666666666667,3.66666666666667,4,3.33333333333333,3,3.375,2.53333333333333,5.5,5.33333333333333,4.75,6.5,5.53333333333333,5.5,5.8,6,5.76923076923077,3.375,3.875,1,6,5.66666666666667,3.66666666666667,6.66666666666667,5.66666666666667,5.66666666666667,6.66666666666667,4.45454545454545,4.66666666666667,4.6,5
6.5,6.25,6,4.33333333333333,5.85714285714286,3.8,2.66666666666667,3.66666666666667,3,2.66666666666667,5,3,2.875,3.33333333333333,6.75,4.66666666666667,6.5,6.5,6.2,6,6,6.25,6.07692307692308,3.875,3.625,3.3,6.33333333333333,6.33333333333333,6,6.66666666666667,6.26666666666667,6,6.33333333333333,3.63636363636364,4.22222222222222,3.96,3
4.75,5.75,5.33333333333333,4.33333333333333,5.07142857142857,4,3,3,3,3,2.66666666666667,3,4.25,2.66666666666667,5,4.33333333333333,5,4.5,4.73333333333333,6,5.6,6.25,5.92307692307692,3.5,4,3.4,5.33333333333333,4.33333333333333,5.33333333333333,6.66666666666667,5,3.33333333333333,5.33333333333333,2.72727272727273,4,3.36,3.88888888888889
