"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
6.44,6.4,1.66666666666667,3,6.07142857142857,5.73333333333333,2.6,6,4,7.88888888888889
3.76,6.46666666666667,1.16666666666667,2.75,4.5,4.6,5,3.92307692307692,4,3.77777777777778
4.04,5.73333333333333,1,2.375,5,4.8,2.4,5.69230769230769,4,4.88888888888889
5.04,5.73333333333333,2.75,3.5,5.5,5.6,2,5.38461538461539,4,6.55555555555556
3.4,6.6,2.66666666666667,3.75,6.35714285714286,6.13333333333333,1.6,6.30769230769231,4,3.55555555555556
4.52,6.2,2.5,3.75,5,5.4,2.2,5.84615384615385,4,4.66666666666667
5.32,5.93333333333333,3,4.625,5.78571428571429,5.93333333333333,2.6,6.38461538461539,4,7.33333333333333
3.16,5.66666666666667,1.75,3.125,4.85714285714286,5.33333333333333,5,5,4,6.44444444444444
7.6,6.6,3.16666666666667,4,5.5,5.46666666666667,1.8,5.69230769230769,4,6.55555555555556
6.64,6.26666666666667,2.75,4,5.57142857142857,5.4,1.8,6.07692307692308,4,6
6.2,5.53333333333333,2,4.125,5.78571428571429,5.46666666666667,4,4.92307692307692,4,7.44444444444444
6.24,6.73333333333333,2.83333333333333,4.5,6.42857142857143,6.33333333333333,1,6.92307692307692,4,7
6.04,6.33333333333333,1.75,4.125,5.14285714285714,5.26666666666667,2.4,5.61538461538461,4,7.22222222222222
6.32,6.33333333333333,1.75,3.25,5,5.33333333333333,4.8,5.53846153846154,4,6.66666666666667
5.2,5.86666666666667,2.5,4.125,5.71428571428571,5.8,3,6.30769230769231,4,8
5.72,6.26666666666667,3,4.25,6.21428571428571,5.66666666666667,3.6,5.76923076923077,4,7.11111111111111
6,6,2.25,3.625,5.71428571428571,5.2,2.4,5.69230769230769,4,6
5.48,5.6,1.91666666666667,2.375,4.78571428571429,6.13333333333333,4.8,4.61538461538461,4,5.22222222222222
4.72,6,2.16666666666667,4.5,5.42857142857143,5.73333333333333,2.2,6.30769230769231,4,6
4.8,5.6,1.58333333333333,3.125,5.07142857142857,4.86666666666667,3.8,3.38461538461538,4,6.22222222222222
5.12,6.2,3.25,4.625,6.42857142857143,6.2,2.4,6.07692307692308,4,5.55555555555556
6.36,6.2,2.66666666666667,3.875,6.07142857142857,5.8,2.6,5.61538461538461,4,6.55555555555556
5.28,5.8,2.25,4.125,4.35714285714286,5.53333333333333,2,5.38461538461539,4,7.22222222222222
4.92,5.73333333333333,3.08333333333333,2.75,5.07142857142857,5,2.8,4.84615384615385,4,6.66666666666667
5.68,4.86666666666667,1.91666666666667,3.5,5.35714285714286,3.86666666666667,4,4.53846153846154,4,5.11111111111111
6.6,6.46666666666667,3.08333333333333,4.125,6.42857142857143,5.86666666666667,1.2,6.46153846153846,4,7.55555555555556
2.44,6.2,2.41666666666667,3.125,7,6.73333333333333,4.6,2.92307692307692,4,2
5.32,6.46666666666667,2.08333333333333,3.625,6.21428571428571,5.4,4.8,4.76923076923077,4,5.88888888888889
4.92,6.46666666666667,3.08333333333333,3.875,6.64285714285714,6.13333333333333,1.2,6.76923076923077,4,6.11111111111111
6,6.4,2.91666666666667,3.875,6,4.86666666666667,3.2,5.15384615384615,4,6.77777777777778
6.48,6,2.91666666666667,3.75,5.35714285714286,5.46666666666667,5.8,4.84615384615385,4,5.22222222222222
6.36,6.2,3.33333333333333,4,6,6.13333333333333,2.8,5.92307692307692,4,6.66666666666667
6.72,5.66666666666667,2.25,2.75,5.57142857142857,5,2.2,6.23076923076923,4,6
5.72,5.53333333333333,2.33333333333333,3,5.85714285714286,5.8,3.2,4.84615384615385,4,6.33333333333333
7,7,3.16666666666667,4.25,6.71428571428571,6.93333333333333,3,6.84615384615385,4,7.55555555555556
5.68,5.33333333333333,2.33333333333333,3.875,5.78571428571429,5.6,2,4.61538461538461,4,5
5.68,6.13333333333333,2.25,3.5,5.57142857142857,5.33333333333333,4,5.46153846153846,4,6.11111111111111
4.4,5.46666666666667,1.66666666666667,3.25,5.64285714285714,5.86666666666667,4.2,5.61538461538461,4,5.66666666666667
6.84,6.86666666666667,2.33333333333333,4.25,6.07142857142857,6.66666666666667,2,6.61538461538461,4,7.33333333333333
6.28,6.33333333333333,2.5,4.25,5.92857142857143,6.06666666666667,1.6,6.69230769230769,4,6.88888888888889
6.6,5,2,4,5,5.13333333333333,1.8,4.46153846153846,4,6
6.36,6.4,3.5,4,6.21428571428571,6.6,2.8,6.53846153846154,4,7.55555555555556
5.48,6.06666666666667,2.58333333333333,4.625,5.85714285714286,6.13333333333333,2,5.76923076923077,4,4.44444444444444
6.28,5.93333333333333,3.16666666666667,3.5,6.07142857142857,5.53333333333333,3.6,4.46153846153846,4,6.66666666666667
