"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi"
6,5.4,2,3,5,5.2,4.2,5.23076923076923,4,6
5.15,5.13333333333333,1.5,4.25,4.42857142857143,3.93333333333333,3.4,4.46153846153846,4,2.44444444444444
5.7,6.8,2.75,3.625,5.85714285714286,5.13333333333333,3,5.23076923076923,4,6.55555555555556
5.05,5.8,2.5,3.875,5.14285714285714,5.4,2.8,5.46153846153846,4,6.33333333333333
3.4,6.13333333333333,1.16666666666667,3.5,5.21428571428571,5.06666666666667,4.2,4.53846153846154,4,5.33333333333333
7,6,1.83333333333333,3.125,5.78571428571429,5.66666666666667,3.6,5.76923076923077,4,7.22222222222222
5.65,6,2.41666666666667,4.125,7,7,4.2,6.07692307692308,4,6.22222222222222
6.95,6.4,2.25,3.375,6,5.2,3.2,5.92307692307692,4,6.88888888888889
5.85,7,2.5,4,6.92857142857143,5.4,4.4,6.30769230769231,4,6.33333333333333
4.85,5.8,1.25,2.375,4.5,5.26666666666667,4.2,6.76923076923077,4,2.44444444444444
3.9,4.33333333333333,2.66666666666667,3,4.14285714285714,3,7.6,2.76923076923077,4,4.33333333333333
3.8,4.2,2.66666666666667,3.75,4.78571428571429,5,3.6,4.23076923076923,4,2.77777777777778
4.25,4.26666666666667,1.58333333333333,4.25,5.85714285714286,4.86666666666667,4.6,4.15384615384615,4,6.44444444444444
5.45,6,2.25,3.625,5.35714285714286,4.86666666666667,3.8,5.38461538461539,4,5.55555555555556
4.6,5.73333333333333,2.75,3.75,5.5,5.06666666666667,3.6,5.61538461538461,4,6.66666666666667
4.2,5.6,2,3.375,5.07142857142857,5.4,2.8,5,4,4.33333333333333
5.4,6.06666666666667,2.5,4,6,5.93333333333333,4.2,6,4,5.77777777777778
3.65,6,2,3.25,4.07142857142857,5.4,4.8,4.76923076923077,4,3.88888888888889
6.85,6,2.5,3.125,5.5,6.26666666666667,1.6,6.53846153846154,4,8
3.9,6.53333333333333,2.58333333333333,3.375,4.92857142857143,4.73333333333333,4,5.53846153846154,4,6
3.1,4,2.08333333333333,3.875,4,4.73333333333333,5.2,5.76923076923077,4,5
4.65,5.2,2.16666666666667,3.625,6.14285714285714,5,3.6,5.07692307692308,4,5
3,5.2,2.41666666666667,2.875,5.42857142857143,5,4,5.69230769230769,4,6.11111111111111
6.05,6.33333333333333,2.58333333333333,3.125,2.5,5.46666666666667,4.6,6.07692307692308,4,7.44444444444444
5.15,6.46666666666667,2.41666666666667,3.375,7,7,1.2,6.84615384615385,4,6.77777777777778
6.55,5.26666666666667,2,3.25,5.28571428571429,5.46666666666667,2.2,5.69230769230769,4,6.88888888888889
