"uh","ili","ffmq","grt","auth","tfl","dis","leadChal","sc.hw","uh.vmi","mt","lnr","har"
4.44,5.26666666666667,2.66666666666667,3.25,6,5.06666666666667,3.2,4.23076923076923,5.25,4.77777777777778,3.75,2.875,2.86666666666667
4,5.06666666666667,2.25,2.5,5.21428571428571,4.86666666666667,5.6,4,3.5,4.55555555555556,3,2.625,2.4
3.8,6.06666666666667,2.75,4.125,5.92857142857143,5.66666666666667,3.8,5.46153846153846,5.5,3.11111111111111,3.375,3.125,3
2.8,5.13333333333333,1.08333333333333,3,4.92857142857143,5.26666666666667,3.6,4.53846153846154,4.625,3.55555555555556,3,2.875,2.33333333333333
3.6,5.8,2.33333333333333,4.5,5.78571428571429,5.8,3.2,5.84615384615385,6.5,4.55555555555556,4.5,3.625,3.53333333333333
3.24,6.2,2,3.5,6.57142857142857,6.53333333333333,3.4,6.38461538461539,5.875,3.66666666666667,4.625,3.625,3.86666666666667
3.16,5.4,2.58333333333333,3.625,5.35714285714286,5,3.4,5.46153846153846,4.5,3.44444444444444,4,2.25,2.53333333333333
2.92,5.8,2.08333333333333,3.25,5.92857142857143,5.6,4.4,5.84615384615385,4.375,3.55555555555556,3.75,3.5,2.93333333333333
3.12,6.46666666666667,2.58333333333333,3.75,6.5,6,4.4,6,4.875,3.33333333333333,3.375,2.625,2.4
4.32,6,2.91666666666667,3.875,6,6.46666666666667,3,5.15384615384615,5.875,4.44444444444444,4.5,4,3.73333333333333
3.12,4.8,1.83333333333333,3.5,4.71428571428571,4.46666666666667,3.2,5.07692307692308,4.75,3.44444444444444,3.625,3,2.8
3.28,5.33333333333333,2.16666666666667,3.375,5,5.53333333333333,4.8,3.38461538461538,4.875,3.11111111111111,4.25,2.25,2.73333333333333
4,4.8,1.66666666666667,3.625,4.64285714285714,4.86666666666667,3.4,5.23076923076923,6.375,3.88888888888889,3.75,3,3.06666666666667
2.92,5,1.66666666666667,3.375,4.71428571428571,4.73333333333333,4.8,4.84615384615385,4.5,3.55555555555556,3.375,2.75,2.8
3.24,6,2.41666666666667,3.75,5.71428571428571,5.93333333333333,3.2,6,5.875,4.33333333333333,4.75,3,3.13333333333333
