"Response.ID","Time.Started","Date.Submitted","Status","Language","SessionID","User.Agent","Extended.User.Agent","Tags","Invite.Status","anonID","Source","surVer","Invite.Custom.Field.4","surName","URL.Variable..sguid","In.what.capacity.have.you.observed.this.student.as.a.leader.","Other...please.describe.In.what.capacity.have.you.observed.this.student.as.a.leader.","val_1","val_2","val_3","val_4","val_5","val_6","val_7","val_8","val_9","val_10","val_11","val_12","val_13","val_14","val_15","val_16","val_17","val_18","val_19","val_20","val_21","uh_1","uh_2","uh_3","uh_4","uh_5","uh_6","uh_7","uh_8","uh_9","uh_10","uh_11","uh_12","uh_13","uh_14","uh_15","uh_16","uh_17","uh_18","uh_19","uh_20","uh.only","ili_1","ili_2","ili_3","ili_4","ili_5","ili_6","ili_7","ili_8","ili_9","ili_10","ili_11","ili_12","ili_13","ili_14","ili_15","bfi_1","bfi_2R","bfi_3","bfi_4","bfi_5","bfi_6R","bfi_7","bfi_8R","bfi_9R","bfi_10","bfi_11","bfi_12R","bfi_13","bfi_14","bfi_15","bfi_16","bfi_17","bfi_18R","bfi_19","bfi_20","bfi_21R","bfi_22","bfi_23R","bfi_24R","bfi_25","bfi_26","bfi_27R","bfi_28","bfi_29","bfi_30","bfi_31R","bfi_32","bfi_33","bfi_34R","bfi_35R","bfi_36","bfi_37R","bfi_38","bfi_39","bfi_40","bfi_41R","bfi_42","bfi_43R","bfi_44","ffmq_1","ffmq_2","ffmq_3R","ffmq_4R","ffmq_5","ffmq_6","ffmq_7R","ffmq_8R","ffmq_9R","ffmq_10","ffmq_11","ffmq_12","ffmq_13R","ffmq_14R","ffmq_15","authNaha_1","authNaha_2","authNaha_3","authNaha_4","authNaha_5","authNaha_6","authNaha_7","authNaha_8","authNaha_9","authNaha_10","authNaha_11","authNaha_12","authNaha_13","authNaha_14","authNaha_15","authNaha_16","tfl_1","tfl_2","tfl_3","tfl_4","tfl_5","tfl_6","tfl_7","tfl_8","tfl_9","tfl_10","tfl_11","tfl_12","tfl_13R","tfl_14","tfl_15","tfl_16","tfl_17","tfl_18","narc_1","narc_2","narc_3","narc_4","narc_5","narc_6","narc_7","narc_8","narc_9","narc_10","narc_11","narc_12","narc_13","narc_14","Which.section.of.PS.344.are.you.in.","Who.is.your.professor.","In.what.year.do.you.graduate.","What.is.your.current.GPA...This.is.optional.but.would.be.helpful.for.a.future.class.demonstration.of.the.research.process.","LPC.score.","Identity.Prototypicality.score.","Identity.Advancement.Champion.score.","Identity.Entrepreneurship.score...","Identity.Impresarioship.Embedding.score...","Total.Identity.Leadership.Score","Conformity.score","Tradition.Score","Benevolence.Score","Universalism.Score","Self.Direction.Score","Stimulation.Score","Hedonism.Score","Achievement.Score","Power.Score","Security.Score","UH.Score","Extraversion.score","Agreeableness.Score","Conscientiousness.Score","Neuroticism.Score","Openness.Score","Observing.Score..FFMQ.","Describing.Score..FFMQ.","Acting.with.Awareness.Score..FFMQ.","Nonjudging.Score..FFMQ.","Nonreactivity.Score..FFMQ.","Self.awareness..authentic.","Balanced.perception..authentic.","Value.based.behavior..authentic.","Relational.Transparency..authentic.","Total.authentic.leadership","Type.A","Total.Emotional.Intelligence","Vision..TFL.","Inspirational.motivation..TFL.","Intellectual.stimulation..TFL.","Individualized.consideration..TFL.","Personal.recognition..TFL.","Idealized.influence..TFL.","Total.TFL","Self.monitoring.Score","Positive.Leadership.Score","Narcissism.Score"
823,"9/14/16 22:04","9/15/16 8:59","Complete","English","3c632b8703e43fe3024268e2cccc2c67","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",NA,"Complete",136,"Import",2,"COL+Cotting","Feedback assessment invitation (to raters)","OkaVX9T5mxpS5PbKy","3","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,7,6,6,6,8,6,8,6,8,7,6,7,6,7,8,6,6,NA,6,6,7,6,6,6,7,7,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,2,2,6,6,6,6,6,4,4,5,6,6,6,6,6,5,6,6,6,6,6,5,4,5,6,2,6,6,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,6,6.5,6.333333333,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,24,20,22,87,0,5.5,6,6,5.333333333,5,5.333333333,6,5.611111111,0,83,83
764,"9/10/16 20:18","9/14/16 19:42","Partial","English","7b157981f4d51f697038068ceabe9dca","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_5 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G36 Safari/601.1",NA,"",362,"Import",NA,"","Feedback assessment invitation (to raters)","e1og2pT5qMDSdKvxy","4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,6,6,6,6,7,6,4,2,6,5,2,4,4,6,7,5,6,NA,6,5,5,4,5,5,5,6,6,6,5,5,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,1,2,1,1,2,2,2,1,3,2,2,3,6,6,6,6,3,3,6,5,6,5,3,6,4,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,"9/10/16 13:16","9/11/16 15:25","Partial","English","4bbfe8f654172616ba2a4e9ea5e31c9d","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 ","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10586",NA,"Partial",1,"Import",1,"COL+Cotting","Self-assessment invite (to students)","2WjA6RtLov6FXvkWr","","",4,2,1,3,2,3,4,2,5,1,5,4,3,5,5,2,5,5,4,5,2,6,7,5,7,6,6,5,6,8,8,5,8,7,2,6,7,7,8,6,6,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,2,7,5,5,4,7,7,6,6,6,6,7,6,3,5,4,6,5,3,3,6,6,7,6,7,2,7,5,6,7,7,3,5,4,6,2,7,1,2,5,7,3,2,3,0,3,3,2,3,0,3,3,3,2,0,3,7,7,7,2,6,6,7,2,7,5,7,7,1,7,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,"9/10/16 14:57","9/10/16 15:09","Partial","English","b813d61a34d4c5ee1ba15d971d1d2235","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.11","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",NA,"Partial",455,"Import",2,"MAJ+Jarman","Feedback assessment invitation (to raters)","yPXxGYf9xm1HWMpZl","2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,2,1,2,1,1,2,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
618,"9/12/16 7:35","9/12/16 7:40","Partial","English","9313731657a885eed5288e738bb7ed6a","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safa","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.101 Safari/537.36",NA,"Partial",305,"Import",2,"MAJ+Jarman","Feedback assessment invitation (to raters)","nwl0ZLhgDWdiam9WX","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,8,3,1,3,6,3,8,3,7,5,3,3,3,8,8,3,3,NA,5,6,6,4,5,6,6,6,4,6,6,5,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"9/9/16 20:25","9/9/16 20:38","Partial","English","3590e22f3146e5dadc558356a8e4acc4","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G35 Safari/601.1",NA,"Partial",567,"Import",2,"MAJ+Jarman","Feedback assessment invitation (to raters)","2Wjay5HLov6FXdvrx","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,6,7,7,8,6,7,6,8,6,6,7,6,5,6,6,7,7,8,NA,6,7,7,7,7,7,7,7,7,7,6,7,7,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0,0,2,3,2,3,1,2,1,4,1,1,2,7,7,7,2,1,3,4,4,5,6,1,7,5,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,"9/9/16 9:21","9/9/16 9:58","Complete","English","26b3954bff73e77179839652f2f9dab6","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0",NA,"Complete",71,"Import",1,"COL+Cotting","Self-assessment invite (to students)","K3lWjWi8BVDCoGDBw","","",4,4,4,4,3,4,3,5,5,4,5,4,5,5,4,4,5,5,4,4,5,6,7,6,7,5,6,5,4,4,8,4,5,2,3,6,6,7,8,6,5,NA,7,7,6,6,5,5,6,6,7,6,6,6,7,6,6,5,6,7,1,6,4,6,4,5,6,6,4,7,5,7,5,7,1,5,6,4,7,1,6,6,5,4,6,5,6,5,7,7,5,4,5,5,6,3,7,3,6,2,5,2,2,2,2,3,1,2,3,3,2,1,1,3,2,2,6,6,6,5,6,4,6,2,6,5,5,6,3,4,5,6,6,6,5,5,6,7,6,6,6,6,6,7,2,6,6,6,6,7,1,0,0,1,1,0,0,0,1,1,0,0,1,0,8,3,3,3.35,104,6.5,6,6,6,6.133333333,3.5,4.5,4.5,4.5,4.5,4,4.5,4.5,4.5,4,5.5,4.625,5.111111111,6.25,3.375,5.8,1.333333333,1.666666667,1.333333333,1.666666667,2.333333333,21,19,24,13,77,8,4.230769231,6,6,5.666666667,5.666666667,6,7,6.055555556,27,74,79
202,"9/9/16 20:33","9/9/16 21:25","Complete","English","98f05596c80a2b48959576eb267ef238","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",NA,"Complete",505,"Import",2,"COL+Cotting","Feedback assessment invitation (to raters)","K3lX9gf8BVDCoOGwl","4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,6,6,6,5,6,7,6,7,4,5,5,6,5,8,6,7,NA,5,5,6,4,5,4,5,5,5,5,4,4,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,2,1,2,1,2,2,2,2,1,2,5,6,5,3,5,3,6,6,6,6,3,6,6,3,6,6,5,5,6,6,5,5,4,5,4,6,6,6,3,5,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.25,4.75,5.25,4.333333333,4.933333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.05,NA,NA,NA,NA,NA,2.333333333,2.666666667,2.333333333,2.666666667,2.333333333,23,23,19,14,79,0,4.923076923,4.666666667,5,5,5.666666667,5.666666667,5.333333333,5.222222222,0,72,72
229,"9/9/16 21:25","9/9/16 22:17","Complete","English","f4bf4bb8d7e3d26c91ee39afff13b586","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Saf","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",NA,"Complete",505,"Import",2,"COL+Cotting","Feedback assessment invitation (to raters)","D2KvdDsy7rjFVBMmy","1","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,7,7,6,7,6,7,6,7,7,7,5,6,3,5,7,8,6,6,NA,6,6,7,6,6,4,6,6,7,7,6,6,6,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,3,0,1,2,1,2,2,2,2,1,3,5,5,6,4,5,4,6,5,6,6,5,6,6,4,6,6,6,7,6,6,6,6,6,6,6,6,6,7,2,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.25,5.75,6.5,6,6.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,NA,NA,NA,NA,NA,1.666666667,2.333333333,2.333333333,2.666666667,2.666666667,22,22,21,14,79,0,4.730769231,6,6,5.666666667,5.666666667,5.666666667,6,5.833333333,0,76,76
287,"9/10/16 0:11","9/11/16 20:26","Partial","English","903af2da2e2ab6056f1a44994a1b7f9a","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Ver","Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13G34 Safari/601.1",NA,"Partial",508,"Import",2,"MAJ+Jarman","Feedback assessment invitation (to raters)","bRkaZBux8bDul1Zw9","4","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,2,1,2,3,0,5,4,3,4,3,8,0,0,0,0,0,0,NA,1,3,1,4,5,6,5,4,6,5,4,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,2,1,1,1,1,3,2,1,4,1,7,7,6,4,4,5,4,5,5,5,4,6,4,7,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
