           [,1]       [,2]       [,3]        [,4]       [,5]        [,6]
[1,]  1.0000000 -0.4994639  0.1823620  0.21486094  0.2560321  0.27252629
[2,] -0.4994639  1.0000000 -0.3516641 -0.42656823 -0.4626214 -0.36554909
[3,]  0.1823620 -0.3516641  1.0000000  0.30437884  0.1686679  0.13518491
[4,]  0.2148609 -0.4265682  0.3043788  1.00000000  0.4082844  0.02436801
[5,]  0.2560321 -0.4626214  0.1686679  0.40828444  1.0000000  0.18364975
[6,]  0.2725263 -0.3655491  0.1351849  0.02436801  0.1836498  1.00000000
[7,]  0.2395686 -0.4052006  0.1152034  0.06825097  0.1896376  0.65528647
            [,7]
[1,]  0.23956864
[2,] -0.40520059
[3,]  0.11520343
[4,]  0.06825097
[5,]  0.18963756
[6,]  0.65528647
[7,]  1.00000000
