           [,1]        [,2]        [,3]       [,4]       [,5]        [,6]
[1,]  1.0000000 -0.25041847  0.44843354  0.4737811  0.5002647  0.51528517
[2,] -0.2504185  1.00000000 -0.07181311 -0.1648745 -0.2120942 -0.08842129
[3,]  0.4484335 -0.07181311  1.00000000  0.5464657  0.4347994  0.40533493
[4,]  0.4737811 -0.16487446  0.54646573  1.0000000  0.6224223  0.30612299
[5,]  0.5002647 -0.21209416  0.43479938  0.6224223  1.0000000  0.44498843
[6,]  0.5152852 -0.08842129  0.40533493  0.3061230  0.4449884  1.00000000
[7,]  0.4908835 -0.13267395  0.39094261  0.3495087  0.4513038  0.79313342
           [,7]
[1,]  0.4908835
[2,] -0.1326740
[3,]  0.3909426
[4,]  0.3495087
[5,]  0.4513038
[6,]  0.7931334
[7,]  1.0000000
