            [,1]         [,2]         [,3]         [,4]         [,5]
[1,] 0.000000000 1.542148e-03 7.127363e-01 4.669230e-02 8.472793e-01
[2,] 0.001542148 0.000000e+00 7.267736e-07 9.891420e-04 1.073699e-04
[3,] 0.712736298 7.267736e-07 0.000000e+00 5.877074e-05 3.385664e-05
[4,] 0.046692302 9.891420e-04 5.877074e-05 0.000000e+00 3.872594e-07
[5,] 0.847279279 1.073699e-04 3.385664e-05 3.872594e-07 0.000000e+00
[6,] 0.001940811 2.694013e-04 1.172957e-09 1.150297e-04 5.547972e-15
             [,6]
[1,] 1.940811e-03
[2,] 2.694013e-04
[3,] 1.172957e-09
[4,] 1.150297e-04
[5,] 5.547972e-15
[6,] 0.000000e+00
