            [,1]         [,2]         [,3]         [,4]         [,5]
[1,] 0.000000000 4.899304e-03 9.802084e-02 5.812444e-02 5.210721e-03
[2,] 0.004899304 0.000000e+00 2.294903e-03 2.333895e-05 1.180086e-06
[3,] 0.098020840 2.294903e-03 0.000000e+00 4.373613e-10 1.575863e-05
[4,] 0.058124437 2.333895e-05 4.373613e-10 0.000000e+00 1.025884e-14
[5,] 0.005210721 1.180086e-06 1.575863e-05 1.025884e-14 0.000000e+00
[6,] 0.537083351 1.291132e-03 1.501960e-04 2.120695e-02 6.989777e-06
[7,] 0.757248986 1.394862e-04 3.635449e-04 3.509883e-03 3.803292e-06
             [,6]         [,7]
[1,] 5.370834e-01 7.572490e-01
[2,] 1.291132e-03 1.394862e-04
[3,] 1.501960e-04 3.635449e-04
[4,] 2.120695e-02 3.509883e-03
[5,] 6.989777e-06 3.803292e-06
[6,] 0.000000e+00 6.855843e-33
[7,] 6.855843e-33 0.000000e+00
