              [,1]         [,2]         [,3]        [,4]        [,5]
 [1,]  1.000000000 -0.665280569  0.002225699 -0.24923538 -0.29341750
 [2,] -0.665280569  1.000000000 -0.444035953  0.40382262  0.09900874
 [3,]  0.002225699 -0.444035953  1.000000000 -0.49699563 -0.37075756
 [4,] -0.249235378  0.403822617 -0.496995633  1.00000000 -0.18880783
 [5,] -0.293417498  0.099008739 -0.370757562 -0.18880783  1.00000000
 [6,]  0.216705973  0.002027957 -0.039957885 -0.05435252 -0.35125215
 [7,] -0.114211703  0.034167303 -0.493714754  0.17788630  0.31673563
 [8,]  0.053502982  0.052919851  0.284556387 -0.57746697  0.30876570
 [9,] -0.395723014 -0.292819816  0.225148171 -0.04759934 -0.25884690
[10,] -0.416375109 -0.060075140 -0.621403431 -0.18463335 -0.31248466
[11,] -0.231278748 -0.477867993 -0.247918485 -0.42187598 -0.13785490
[12,] -0.185293171  0.233876280 -0.020783734 -0.09160068 -0.08111455
[13,]  0.069475441 -0.543626052  0.024608675 -0.51518618 -0.64945993
[14,] -0.294774377  0.226901466 -0.522517120 -0.06310651  0.02877913
              [,6]        [,7]        [,8]        [,9]       [,10]       [,11]
 [1,]  0.216705973 -0.11421170  0.05350298 -0.39572301 -0.41637511 -0.23127875
 [2,]  0.002027957  0.03416730  0.05291985 -0.29281982 -0.06007514 -0.47786799
 [3,] -0.039957885 -0.49371475  0.28455639  0.22514817 -0.62140343 -0.24791849
 [4,] -0.054352516  0.17788630 -0.57746697 -0.04759934 -0.18463335 -0.42187598
 [5,] -0.351252151  0.31673563  0.30876570 -0.25884690 -0.31248466 -0.13785490
 [6,]  1.000000000  0.20620370  0.01771030 -0.25914318 -0.13979486 -0.46998389
 [7,]  0.206203702  1.00000000  0.37728208 -0.33655012 -0.70447568 -0.26637007
 [8,]  0.017710295  0.37728208  1.00000000 -0.16186272 -0.24600787  0.06637687
 [9,] -0.259143182 -0.33655012 -0.16186272  1.00000000 -0.38810254  0.15141488
[10,] -0.139794862 -0.70447568 -0.24600787 -0.38810254  1.00000000 -0.09363900
[11,] -0.469983892 -0.26637007  0.06637687  0.15141488 -0.09363900  1.00000000
[12,] -0.028996501 -0.19800299 -0.03061580 -0.03280072 -0.24856053 -0.19714699
[13,] -0.415523759 -0.40243114 -0.26617712 -0.46315983 -0.11691225 -0.07491668
[14,] -0.367293546  0.03703923 -0.52077210 -0.15460592 -0.21568467 -0.14398243
            [,12]       [,13]       [,14]
 [1,] -0.18529317  0.06947544 -0.29477438
 [2,]  0.23387628 -0.54362605  0.22690147
 [3,] -0.02078373  0.02460867 -0.52251712
 [4,] -0.09160068 -0.51518618 -0.06310651
 [5,] -0.08111455 -0.64945993  0.02877913
 [6,] -0.02899650 -0.41552376 -0.36729355
 [7,] -0.19800299 -0.40243114  0.03703923
 [8,] -0.03061580 -0.26617712 -0.52077210
 [9,] -0.03280072 -0.46315983 -0.15460592
[10,] -0.24856053 -0.11691225 -0.21568467
[11,] -0.19714699 -0.07491668 -0.14398243
[12,]  1.00000000 -0.05327716  0.18217475
[13,] -0.05327716  1.00000000 -0.07208578
[14,]  0.18217475 -0.07208578  1.00000000
