             [,1]        [,2]        [,3]       [,4]        [,5]        [,6]
 [1,]  1.00000000 -0.74773122 -0.57193065 -0.4169835  0.01649358 -0.32319576
 [2,] -0.74773122  1.00000000 -0.34370014 -0.3208676 -0.28287140  0.10221340
 [3,] -0.57193065 -0.34370014  1.00000000  0.2285022 -0.42853438 -0.34770839
 [4,] -0.41698346 -0.32086763  0.22850215  1.0000000 -0.45724759 -0.26415334
 [5,]  0.01649358 -0.28287140 -0.42853438 -0.4572476  1.00000000 -0.51885328
 [6,] -0.32319576  0.10221340 -0.34770839 -0.2641533 -0.51885328  1.00000000
 [7,] -0.65261416  0.30521672 -0.20290004 -0.2331839 -0.30870563 -0.19338029
 [8,] -0.06853988  0.08466055  0.21380106  0.1557289 -0.34739998  0.02652145
 [9,]  0.37589098 -0.23814170 -0.40196479 -0.4880452 -0.34624082 -0.63357462
[10,] -0.15071889 -0.54093920 -0.36477138 -0.4628733 -0.24511527  0.01784901
[11,]  0.17754797 -0.36637084 -0.39420403 -0.4691372  0.31176457 -0.26472678
[12,] -0.24432545 -0.17439651  0.13319095 -0.1833556 -0.30784712 -0.42981742
[13,] -0.36436310 -0.11369752  0.03576208  0.1705000 -0.45719552 -0.29976170
[14,] -0.35681477 -0.27281343 -0.32786642 -0.5103414 -0.19361370 -0.15475615
             [,7]        [,8]        [,9]       [,10]       [,11]       [,12]
 [1,] -0.65261416 -0.06853988  0.37589098 -0.15071889  0.17754797 -0.24432545
 [2,]  0.30521672  0.08466055 -0.23814170 -0.54093920 -0.36637084 -0.17439651
 [3,] -0.20290004  0.21380106 -0.40196479 -0.36477138 -0.39420403  0.13319095
 [4,] -0.23318385  0.15572888 -0.48804518 -0.46287330 -0.46913716 -0.18335564
 [5,] -0.30870563 -0.34739998 -0.34624082 -0.24511527  0.31176457 -0.30784712
 [6,] -0.19338029  0.02652145 -0.63357462  0.01784901 -0.26472678 -0.42981742
 [7,]  1.00000000 -0.02432732 -0.35256224 -0.40820237 -0.19737820 -0.19638462
 [8,] -0.02432732  1.00000000 -0.09405456 -0.20114676  0.16873018  0.06916286
 [9,] -0.35256224 -0.09405456  1.00000000 -0.46059484 -0.30353676 -0.01781839
[10,] -0.40820237 -0.20114676 -0.46059484  1.00000000  0.15395291  0.02850518
[11,] -0.19737820  0.16873018 -0.30353676  0.15395291  1.00000000 -0.01682816
[12,] -0.19638462  0.06916286 -0.01781839  0.02850518 -0.01682816  1.00000000
[13,]  0.15855371 -0.31896434 -0.36308071 -0.15695540 -0.45450444 -0.49585812
[14,]  0.29589560 -0.03147906 -0.09890481 -0.26882171 -0.47788042 -0.10905911
            [,13]       [,14]
 [1,] -0.36436310 -0.35681477
 [2,] -0.11369752 -0.27281343
 [3,]  0.03576208 -0.32786642
 [4,]  0.17050000 -0.51034140
 [5,] -0.45719552 -0.19361370
 [6,] -0.29976170 -0.15475615
 [7,]  0.15855371  0.29589560
 [8,] -0.31896434 -0.03147906
 [9,] -0.36308071 -0.09890481
[10,] -0.15695540 -0.26882171
[11,] -0.45450444 -0.47788042
[12,] -0.49585812 -0.10905911
[13,]  1.00000000 -0.37196678
[14,] -0.37196678  1.00000000
