             [,1]       [,2]         [,3]        [,4]      [,5]        [,6]
 [1,]  1.00000000 0.14366262  0.252070585  0.29393968 0.1684774 0.235821142
 [2,]  0.14366262 1.00000000  0.240440516  0.23635271 0.2582098 0.169588137
 [3,]  0.25207059 0.24044052  1.000000000  0.32491341 0.3577572 0.252089864
 [4,]  0.29393968 0.23635271  0.324913411  1.00000000 0.3193198 0.383747129
 [5,]  0.16847741 0.25820976  0.357757161  0.31931981 1.0000000 0.269732810
 [6,]  0.23582114 0.16958814  0.252089864  0.38374713 0.2697328 1.000000000
 [7,]  0.32528137 0.28208738  0.280500769  0.37770451 0.4571458 0.410057272
 [8,]  0.29138780 0.35335905  0.252906315  0.39854728 0.4250758 0.355004164
 [9,]  0.27810709 0.33283231  0.325425696  0.37712563 0.3715221 0.384792517
[10,] -0.03347788 0.05057319 -0.006421653 -0.00391576 0.0857979 0.008543005
[11,]  0.26037041 0.21087848  0.224284140  0.38109680 0.4156630 0.444878867
[12,]  0.19481349 0.12537467  0.192625964  0.34013028 0.2628092 0.320822181
[13,]  0.20661523 0.21344211  0.167765781  0.23322968 0.1950142 0.059277204
[14,]  0.25892634 0.16121657  0.020820698  0.23642582 0.2524296 0.274149303
[15,]  0.06036586 0.08494406  0.156733399  0.12551957 0.1789501 0.313581731
           [,7]      [,8]       [,9]        [,10]     [,11]        [,12]
 [1,] 0.3252814 0.2913878 0.27810709 -0.033477877 0.2603704  0.194813490
 [2,] 0.2820874 0.3533590 0.33283231  0.050573185 0.2108785  0.125374666
 [3,] 0.2805008 0.2529063 0.32542570 -0.006421653 0.2242841  0.192625964
 [4,] 0.3777045 0.3985473 0.37712563 -0.003915760 0.3810968  0.340130276
 [5,] 0.4571458 0.4250758 0.37152205  0.085797896 0.4156630  0.262809248
 [6,] 0.4100573 0.3550042 0.38479252  0.008543005 0.4448789  0.320822181
 [7,] 1.0000000 0.5356253 0.44665731  0.139240761 0.5770492  0.355398360
 [8,] 0.5356253 1.0000000 0.43270521  0.100851589 0.5030442  0.210001183
 [9,] 0.4466573 0.4327052 1.00000000  0.299022420 0.3868564  0.411526075
[10,] 0.1392408 0.1008516 0.29902242  1.000000000 0.0883790 -0.004615333
[11,] 0.5770492 0.5030442 0.38685636  0.088379002 1.0000000  0.406012558
[12,] 0.3553984 0.2100012 0.41152607 -0.004615333 0.4060126  1.000000000
[13,] 0.3098767 0.1686544 0.14853488 -0.026845269 0.3677308  0.197963392
[14,] 0.2529671 0.2395788 0.03346533 -0.081195090 0.3064512  0.129269303
[15,] 0.2168869 0.3546645 0.36575056  0.092172209 0.3004791  0.196953127
            [,13]       [,14]       [,15]
 [1,]  0.20661523  0.25892634  0.06036586
 [2,]  0.21344211  0.16121657  0.08494406
 [3,]  0.16776578  0.02082070  0.15673340
 [4,]  0.23322968  0.23642582  0.12551957
 [5,]  0.19501422  0.25242964  0.17895013
 [6,]  0.05927720  0.27414930  0.31358173
 [7,]  0.30987668  0.25296707  0.21688688
 [8,]  0.16865442  0.23957877  0.35466447
 [9,]  0.14853488  0.03346533  0.36575056
[10,] -0.02684527 -0.08119509  0.09217221
[11,]  0.36773084  0.30645115  0.30047906
[12,]  0.19796339  0.12926930  0.19695313
[13,]  1.00000000  0.19304007 -0.01347572
[14,]  0.19304007  1.00000000 -0.08957099
[15,] -0.01347572 -0.08957099  1.00000000
