           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.4778236 0.6173941 0.6910153 0.4198872 0.3183445 0.4329944
 [2,] 0.4778236 1.0000000 0.5613287 0.4703797 0.5040020 0.2454602 0.4635630
 [3,] 0.6173941 0.5613287 1.0000000 0.6603890 0.4949506 0.3785055 0.4581655
 [4,] 0.6910153 0.4703797 0.6603890 1.0000000 0.4692320 0.4327056 0.4970312
 [5,] 0.4198872 0.5040020 0.4949506 0.4692320 1.0000000 0.5925727 0.6091648
 [6,] 0.3183445 0.2454602 0.3785055 0.4327056 0.5925727 1.0000000 0.6710584
 [7,] 0.4329944 0.4635630 0.4581655 0.4970312 0.6091648 0.6710584 1.0000000
 [8,] 0.3538555 0.4109658 0.3976197 0.4259105 0.6464532 0.5938209 0.7091328
 [9,] 0.4019135 0.3880945 0.5067298 0.4390943 0.4684196 0.4952131 0.4299707
[10,] 0.5338152 0.4900316 0.5467061 0.5237745 0.5940746 0.4924299 0.5742610
[11,] 0.5248267 0.3447660 0.3962497 0.4193410 0.4376721 0.4675916 0.4718347
[12,] 0.3785245 0.4707536 0.4772422 0.3984446 0.5410597 0.3735615 0.4788870
[13,] 0.4194929 0.4543539 0.4354820 0.3635736 0.5219113 0.4167396 0.5044817
[14,] 0.4465490 0.5420926 0.5113535 0.4578931 0.5693103 0.4495779 0.4691129
           [,8]      [,9]     [,10]     [,11]     [,12]     [,13]     [,14]
 [1,] 0.3538555 0.4019135 0.5338152 0.5248267 0.3785245 0.4194929 0.4465490
 [2,] 0.4109658 0.3880945 0.4900316 0.3447660 0.4707536 0.4543539 0.5420926
 [3,] 0.3976197 0.5067298 0.5467061 0.3962497 0.4772422 0.4354820 0.5113535
 [4,] 0.4259105 0.4390943 0.5237745 0.4193410 0.3984446 0.3635736 0.4578931
 [5,] 0.6464532 0.4684196 0.5940746 0.4376721 0.5410597 0.5219113 0.5693103
 [6,] 0.5938209 0.4952131 0.4924299 0.4675916 0.3735615 0.4167396 0.4495779
 [7,] 0.7091328 0.4299707 0.5742610 0.4718347 0.4788870 0.5044817 0.4691129
 [8,] 1.0000000 0.4152402 0.5063777 0.3595293 0.3969617 0.4704439 0.5071360
 [9,] 0.4152402 1.0000000 0.5221954 0.4711150 0.3813482 0.4035254 0.5408227
[10,] 0.5063777 0.5221954 1.0000000 0.6286518 0.7205984 0.5815599 0.6862631
[11,] 0.3595293 0.4711150 0.6286518 1.0000000 0.4495979 0.4106003 0.3963812
[12,] 0.3969617 0.3813482 0.7205984 0.4495979 1.0000000 0.6370886 0.6797655
[13,] 0.4704439 0.4035254 0.5815599 0.4106003 0.6370886 1.0000000 0.5436787
[14,] 0.5071360 0.5408227 0.6862631 0.3963812 0.6797655 0.5436787 1.0000000
