             [,1]        [,2]        [,3]        [,4]        [,5]         [,6]
 [1,]  1.00000000  0.93443236 -0.09552953 -0.27471000  0.48912134  0.284280947
 [2,]  0.93443236  1.00000000  0.08280648  0.31108166 -0.04416168  0.208284839
 [3,] -0.09552953  0.08280648  1.00000000  0.83788720 -0.04633279  0.413867433
 [4,] -0.27471000  0.31108166  0.83788720  1.00000000  0.93201370  0.181227001
 [5,]  0.48912134 -0.04416168 -0.04633279  0.93201370  1.00000000 -0.176437599
 [6,]  0.28428095  0.20828484  0.41386743  0.18122700 -0.17643760  1.000000000
 [7,]  0.11223737  0.78300336  0.63826401 -0.15124662 -0.24450815  0.460827411
 [8,]  0.42251274  0.50970628  0.22617603  0.16105990  0.27840781  0.041635109
 [9,]  0.40392542  0.27686180 -0.38144579 -0.34865317  0.02449784  0.100159672
[10,]  0.39949108 -0.18482624 -0.21350634 -0.18800439  0.21727720  0.504364228
[11,]  0.47232182  0.03397484 -0.24949281  0.36268881  0.54649216 -0.114109476
[12,]  0.47975104 -0.11148724  0.34559856 -0.11330112  0.55526400 -0.175174277
[13,] -0.26819861  0.04482408  0.39948999  0.20553300  0.11870398  0.367544196
[14,]  0.15980635  0.17882705  0.50507968 -0.02777594  0.27945400  0.002312292
             [,7]       [,8]        [,9]       [,10]       [,11]      [,12]
 [1,]  0.11223737 0.42251274  0.40392542  0.39949108  0.47232182  0.4797510
 [2,]  0.78300336 0.50970628  0.27686180 -0.18482624  0.03397484 -0.1114872
 [3,]  0.63826401 0.22617603 -0.38144579 -0.21350634 -0.24949281  0.3455986
 [4,] -0.15124662 0.16105990 -0.34865317 -0.18800439  0.36268881 -0.1133011
 [5,] -0.24450815 0.27840781  0.02449784  0.21727720  0.54649216  0.5552640
 [6,]  0.46082741 0.04163511  0.10015967  0.50436423 -0.11410948 -0.1751743
 [7,]  1.00000000 0.67973915  0.04670283 -0.25286303 -0.19033722  0.2784324
 [8,]  0.67973915 1.00000000  0.54107410  0.21911665  0.41296799  0.3198512
 [9,]  0.04670283 0.54107410  1.00000000  0.37492350  0.36136095  0.1441527
[10,] -0.25286303 0.21911665  0.37492350  1.00000000  0.20574071  0.1080950
[11,] -0.19033722 0.41296799  0.36136095  0.20574071  1.00000000  0.3415725
[12,]  0.27843236 0.31985116  0.14415272  0.10809500  0.34157249  1.0000000
[13,]  0.31727226 0.28587948 -0.31802086 -0.09647409  0.05950479  0.3062010
[14,]  0.44999215 0.11974146  0.23836226 -0.04984077  0.21062052  0.2772858
            [,13]        [,14]
 [1,] -0.26819861  0.159806352
 [2,]  0.04482408  0.178827047
 [3,]  0.39948999  0.505079685
 [4,]  0.20553300 -0.027775943
 [5,]  0.11870398  0.279454003
 [6,]  0.36754420  0.002312292
 [7,]  0.31727226  0.449992150
 [8,]  0.28587948  0.119741461
 [9,] -0.31802086  0.238362255
[10,] -0.09647409 -0.049840769
[11,]  0.05950479  0.210620522
[12,]  0.30620103  0.277285757
[13,]  1.00000000  0.271940144
[14,]  0.27194014  1.000000000
