           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.4157268 0.5056159 0.5308872 0.4367416 0.4885915 0.5620605
 [2,] 0.4157268 1.0000000 0.4901391 0.4848841 0.5018574 0.4399157 0.5234319
 [3,] 0.5056159 0.4901391 1.0000000 0.5596867 0.5846891 0.5048543 0.5289033
 [4,] 0.5308872 0.4848841 0.5596867 1.0000000 0.5526847 0.6011989 0.6014753
 [5,] 0.4367416 0.5018574 0.5846891 0.5526847 1.0000000 0.5134630 0.6585327
 [6,] 0.4885915 0.4399157 0.5048543 0.6011989 0.5134630 1.0000000 0.6206560
 [7,] 0.5620605 0.5234319 0.5289033 0.6014753 0.6585327 0.6206560 1.0000000
 [8,] 0.5307091 0.5796959 0.4986654 0.6085262 0.6314679 0.5788200 0.7142286
 [9,] 0.5262784 0.5644215 0.5590718 0.5932257 0.5878870 0.6064038 0.6517783
[10,] 0.2578249 0.3314405 0.2823819 0.2745347 0.3585522 0.2906495 0.4086802
[11,] 0.5120434 0.4717134 0.4844848 0.5974601 0.6284497 0.6477239 0.7395787
[12,] 0.4547255 0.3960710 0.4499322 0.5682556 0.5104701 0.5563901 0.5846478
[13,] 0.4624960 0.4718733 0.4299460 0.4840644 0.4549347 0.3408100 0.5417063
[14,] 0.5060935 0.4358043 0.3035313 0.4868913 0.4998350 0.5190066 0.5080943
[15,] 0.3400580 0.3618438 0.4266754 0.3941927 0.4422276 0.5498030 0.4722097
           [,8]      [,9]     [,10]     [,11]     [,12]     [,13]     [,14]
 [1,] 0.5307091 0.5262784 0.2578249 0.5120434 0.4547255 0.4624960 0.5060935
 [2,] 0.5796959 0.5644215 0.3314405 0.4717134 0.3960710 0.4718733 0.4358043
 [3,] 0.4986654 0.5590718 0.2823819 0.4844848 0.4499322 0.4299460 0.3035313
 [4,] 0.6085262 0.5932257 0.2745347 0.5974601 0.5682556 0.4840644 0.4868913
 [5,] 0.6314679 0.5878870 0.3585522 0.6284497 0.5104701 0.4549347 0.4998350
 [6,] 0.5788200 0.6064038 0.2906495 0.6477239 0.5563901 0.3408100 0.5190066
 [7,] 0.7142286 0.6517783 0.4086802 0.7395787 0.5846478 0.5417063 0.5080943
 [8,] 1.0000000 0.6372504 0.3712480 0.6887877 0.4670363 0.4368989 0.4913459
 [9,] 0.6372504 1.0000000 0.5359942 0.6026266 0.6215344 0.4127118 0.3098720
[10,] 0.3712480 0.5359942 1.0000000 0.3572788 0.2711148 0.2616197 0.2035140
[11,] 0.6887877 0.6026266 0.3572788 1.0000000 0.6200675 0.5907088 0.5430667
[12,] 0.4670363 0.6215344 0.2711148 0.6200675 1.0000000 0.4666686 0.4059369
[13,] 0.4368989 0.4127118 0.2616197 0.5907088 0.4666686 1.0000000 0.4582021
[14,] 0.4913459 0.3098720 0.2035140 0.5430667 0.4059369 0.4582021 1.0000000
[15,] 0.5756670 0.5883134 0.3638708 0.5391840 0.4584256 0.2675809 0.1918017
          [,15]
 [1,] 0.3400580
 [2,] 0.3618438
 [3,] 0.4266754
 [4,] 0.3941927
 [5,] 0.4422276
 [6,] 0.5498030
 [7,] 0.4722097
 [8,] 0.5756670
 [9,] 0.5883134
[10,] 0.3638708
[11,] 0.5391840
[12,] 0.4584256
[13,] 0.2675809
[14,] 0.1918017
[15,] 1.0000000
