              [,1]         [,2]         [,3]         [,4]         [,5]
 [1,] 0.000000e+00 2.372642e-07 4.775029e-15 2.264530e-21 2.641242e-05
 [2,] 2.372642e-07 0.000000e+00 1.905341e-11 3.559008e-07 1.366692e-08
 [3,] 4.775029e-15 1.905341e-11 0.000000e+00 1.133472e-18 3.748778e-08
 [4,] 2.264530e-21 3.559008e-07 1.133472e-18 0.000000e+00 5.897140e-07
 [5,] 2.641242e-05 1.366692e-08 3.748778e-08 5.897140e-07 0.000000e+00
 [6,] 9.249824e-03 1.231018e-01 3.902526e-04 7.682961e-06 2.077414e-13
 [7,] 1.019154e-05 7.439805e-07 2.216618e-06 6.772076e-08 1.905636e-14
 [8,] 1.649418e-03 3.696434e-05 1.312945e-04 1.582648e-05 1.591654e-17
 [9,] 8.204097e-05 2.889208e-04 1.145592e-08 4.759092e-06 4.291978e-07
[10,] 7.654463e-04 1.215813e-14 1.249119e-07 2.483119e-04 8.186960e-11
[11,] 8.683789e-10 4.949440e-08 1.863235e-10 2.566991e-09 3.093402e-13
[12,] 1.389187e-09 2.138235e-03 1.031898e-04 2.448695e-05 5.588484e-06
[13,] 4.324032e-04 3.413568e-07 3.849938e-07 1.582282e-04 2.884911e-10
[14,] 2.353714e-05 1.149751e-06 6.899136e-06 1.280299e-03 2.531645e-09
[15,] 3.758132e-06 1.580401e-10 9.283719e-09 1.134073e-06 1.018706e-11
              [,6]         [,7]         [,8]         [,9]        [,10]
 [1,] 9.249824e-03 1.019154e-05 1.649418e-03 8.204097e-05 7.654463e-04
 [2,] 1.231018e-01 7.439805e-07 3.696434e-05 2.889208e-04 1.215813e-14
 [3,] 3.902526e-04 2.216618e-06 1.312945e-04 1.145592e-08 1.249119e-07
 [4,] 7.682961e-06 6.772076e-08 1.582648e-05 4.759092e-06 2.483119e-04
 [5,] 2.077414e-13 1.905636e-14 1.591654e-17 4.291978e-07 8.186960e-11
 [6,] 0.000000e+00 2.267643e-19 2.082998e-13 2.714985e-08 4.783482e-04
 [7,] 2.267643e-19 0.000000e+00 3.470262e-23 1.345244e-05 4.241396e-08
 [8,] 2.082998e-13 3.470262e-23 0.000000e+00 4.986532e-05 3.339830e-10
 [9,] 2.714985e-08 1.345244e-05 4.986532e-05 0.000000e+00 5.660271e-07
[10,] 4.783482e-04 4.241396e-08 3.339830e-10 5.660271e-07 0.000000e+00
[11,] 7.696309e-08 4.236075e-12 1.497126e-08 3.567147e-09 7.413943e-15
[12,] 6.363927e-07 3.664222e-07 1.232963e-03 3.758109e-07 2.109271e-05
[13,] 6.189858e-04 2.353239e-07 1.334071e-04 4.185235e-04 6.135145e-15
[14,] 3.888351e-05 1.438843e-08 3.924316e-07 9.530901e-05 4.896332e-09
[15,] 2.487023e-06 5.467889e-07 1.523487e-08 2.419117e-10 3.971828e-14
             [,11]        [,12]        [,13]        [,14]        [,15]
 [1,] 8.683789e-10 1.389187e-09 4.324032e-04 2.353714e-05 3.758132e-06
 [2,] 4.949440e-08 2.138235e-03 3.413568e-07 1.149751e-06 1.580401e-10
 [3,] 1.863235e-10 1.031898e-04 3.849938e-07 6.899136e-06 9.283719e-09
 [4,] 2.566991e-09 2.448695e-05 1.582282e-04 1.280299e-03 1.134073e-06
 [5,] 3.093402e-13 5.588484e-06 2.884911e-10 2.531645e-09 1.018706e-11
 [6,] 7.696309e-08 6.363927e-07 6.189858e-04 3.888351e-05 2.487023e-06
 [7,] 4.236075e-12 3.664222e-07 2.353239e-07 1.438843e-08 5.467889e-07
 [8,] 1.497126e-08 1.232963e-03 1.334071e-04 3.924316e-07 1.523487e-08
 [9,] 3.567147e-09 3.758109e-07 4.185235e-04 9.530901e-05 2.419117e-10
[10,] 7.413943e-15 2.109271e-05 6.135145e-15 4.896332e-09 3.971828e-14
[11,] 0.000000e+00 7.265121e-16 2.252784e-24 1.299294e-12 9.223415e-21
[12,] 7.265121e-16 0.000000e+00 3.405917e-06 4.525378e-05 1.311897e-04
[13,] 2.252784e-24 3.405917e-06 0.000000e+00 2.196593e-16 2.652451e-20
[14,] 1.299294e-12 4.525378e-05 2.196593e-16 0.000000e+00 2.219962e-10
[15,] 9.223415e-21 1.311897e-04 2.652451e-20 2.219962e-10 0.000000e+00
