              [,1]         [,2]         [,3]         [,4]         [,5]
 [1,] 0.000000e+00 5.041885e-05 2.477900e-08 7.882177e-10 8.171438e-06
 [2,] 5.041885e-05 0.000000e+00 5.849364e-08 8.670242e-08 1.456158e-08
 [3,] 2.477900e-08 5.849364e-08 0.000000e+00 2.929102e-11 6.275452e-13
 [4,] 7.882177e-10 8.670242e-08 2.929102e-11 0.000000e+00 5.426751e-11
 [5,] 8.171438e-06 1.456158e-08 6.275452e-13 5.426751e-11 0.000000e+00
 [6,] 6.640748e-08 7.480897e-06 2.385200e-08 4.780290e-14 6.185643e-09
 [7,] 2.613194e-11 2.142671e-09 2.799271e-09 1.220082e-13 4.231787e-18
 [8,] 7.841945e-10 1.434275e-12 3.697351e-08 1.267934e-14 7.144592e-16
 [9,] 2.114918e-09 1.385192e-11 3.407888e-11 1.931638e-13 5.489422e-13
[10,] 1.039874e-01 4.900387e-03 4.592153e-02 4.819309e-02 1.057147e-03
[11,] 2.049741e-06 1.850311e-10 2.424994e-07 8.241940e-10 1.844766e-15
[12,] 1.360841e-08 5.598942e-07 2.277123e-07 7.920642e-14 1.509009e-15
[13,] 1.444966e-06 1.434653e-04 2.441357e-06 4.110452e-12 1.053607e-08
[14,] 7.915115e-07 3.730256e-07 1.143799e-05 1.165943e-07 1.882928e-06
[15,] 1.498470e-08 1.207028e-05 1.843585e-02 8.406931e-08 2.790871e-08
[16,] 3.537841e-03 9.848208e-04 1.857657e-05 1.496938e-04 4.394502e-06
              [,6]         [,7]         [,8]         [,9]        [,10]
 [1,] 6.640748e-08 2.613194e-11 7.841945e-10 2.114918e-09 1.039874e-01
 [2,] 7.480897e-06 2.142671e-09 1.434275e-12 1.385192e-11 4.900387e-03
 [3,] 2.385200e-08 2.799271e-09 3.697351e-08 3.407888e-11 4.592153e-02
 [4,] 4.780290e-14 1.220082e-13 1.267934e-14 1.931638e-13 4.819309e-02
 [5,] 6.185643e-09 4.231787e-18 7.144592e-16 5.489422e-13 1.057147e-03
 [6,] 0.000000e+00 4.146305e-15 2.173355e-12 5.061528e-14 2.994232e-02
 [7,] 4.146305e-15 0.000000e+00 2.246700e-23 3.053471e-17 5.761222e-05
 [8,] 2.173355e-12 2.246700e-23 0.000000e+00 2.918685e-16 5.636838e-04
 [9,] 5.061528e-14 3.053471e-17 2.918685e-16 0.000000e+00 4.373613e-10
[10,] 2.994232e-02 5.761222e-05 5.636838e-04 4.373613e-10 0.000000e+00
[11,] 1.210738e-06 6.661547e-16 2.955795e-24 2.961555e-15 4.116614e-06
[12,] 3.176915e-17 2.022687e-26 8.769006e-21 7.970532e-14 1.129136e-03
[13,] 5.972971e-11 1.077054e-12 6.138236e-07 2.373510e-15 6.031445e-02
[14,] 4.039657e-03 2.128530e-10 1.259932e-05 4.775905e-05 9.394750e-02
[15,] 4.217830e-09 1.961243e-08 7.565381e-08 1.586702e-02 3.920049e-01
[16,] 9.601808e-11 3.429146e-07 2.706420e-12 6.069497e-13 8.160538e-04
             [,11]        [,12]        [,13]        [,14]        [,15]
 [1,] 2.049741e-06 1.360841e-08 1.444966e-06 7.915115e-07 1.498470e-08
 [2,] 1.850311e-10 5.598942e-07 1.434653e-04 3.730256e-07 1.207028e-05
 [3,] 2.424994e-07 2.277123e-07 2.441357e-06 1.143799e-05 1.843585e-02
 [4,] 8.241940e-10 7.920642e-14 4.110452e-12 1.165943e-07 8.406931e-08
 [5,] 1.844766e-15 1.509009e-15 1.053607e-08 1.882928e-06 2.790871e-08
 [6,] 1.210738e-06 3.176915e-17 5.972971e-11 4.039657e-03 4.217830e-09
 [7,] 6.661547e-16 2.022687e-26 1.077054e-12 2.128530e-10 1.961243e-08
 [8,] 2.955795e-24 8.769006e-21 6.138236e-07 1.259932e-05 7.565381e-08
 [9,] 2.961555e-15 7.970532e-14 2.373510e-15 4.775905e-05 1.586702e-02
[10,] 4.116614e-06 1.129136e-03 6.031445e-02 9.394750e-02 3.920049e-01
[11,] 0.000000e+00 2.022092e-12 2.301234e-05 1.268192e-05 1.159255e-02
[12,] 2.022092e-12 0.000000e+00 3.423939e-15 3.503757e-13 2.498674e-10
[13,] 2.301234e-05 3.423939e-15 0.000000e+00 8.761535e-07 9.679746e-05
[14,] 1.268192e-05 3.503757e-13 8.761535e-07 0.000000e+00 1.681885e-06
[15,] 1.159255e-02 2.498674e-10 9.679746e-05 1.681885e-06 0.000000e+00
[16,] 1.446336e-09 2.844918e-10 1.283287e-06 6.413894e-02 4.383044e-01
             [,16]
 [1,] 3.537841e-03
 [2,] 9.848208e-04
 [3,] 1.857657e-05
 [4,] 1.496938e-04
 [5,] 4.394502e-06
 [6,] 9.601808e-11
 [7,] 3.429146e-07
 [8,] 2.706420e-12
 [9,] 6.069497e-13
[10,] 8.160538e-04
[11,] 1.446336e-09
[12,] 2.844918e-10
[13,] 1.283287e-06
[14,] 6.413894e-02
[15,] 4.383044e-01
[16,] 0.000000e+00
