           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.2831394 0.4676220 0.5676146 0.2290999 0.1809639 0.1454967
 [2,] 0.2831394 1.0000000 0.3910719 0.2845499 0.2735545 0.1593709 0.4557160
 [3,] 0.4676220 0.3910719 1.0000000 0.5223982 0.3074545 0.3030550 0.2908458
 [4,] 0.5676146 0.2845499 0.5223982 1.0000000 0.3411963 0.2357148 0.1618814
 [5,] 0.2290999 0.2735545 0.3074545 0.3411963 1.0000000 0.3310343 0.3947239
 [6,] 0.1809639 0.1593709 0.3030550 0.2357148 0.3310343 1.0000000 0.2688041
 [7,] 0.1454967 0.4557160 0.2908458 0.1618814 0.3947239 0.2688041 1.0000000
 [8,] 0.3684819 0.3047196 0.3770820 0.3304697 0.4742854 0.3365885 0.4663629
 [9,] 0.3515714 0.1172162 0.1818583 0.2070746 0.3071313 0.2636498 0.2141407
[10,] 0.1621922 0.2730343 0.2744729 0.1734705 0.3287451 0.1549884 0.4559722
[11,] 0.2172946 0.2614030 0.2345472 0.1294977 0.3679099 0.1870339 0.3356657
[12,] 0.2425754 0.3728851 0.3297805 0.2578550 0.4059737 0.3692279 0.4506066
           [,8]      [,9]     [,10]     [,11]     [,12]
 [1,] 0.3684819 0.3515714 0.1621922 0.2172946 0.2425754
 [2,] 0.3047196 0.1172162 0.2730343 0.2614030 0.3728851
 [3,] 0.3770820 0.1818583 0.2744729 0.2345472 0.3297805
 [4,] 0.3304697 0.2070746 0.1734705 0.1294977 0.2578550
 [5,] 0.4742854 0.3071313 0.3287451 0.3679099 0.4059737
 [6,] 0.3365885 0.2636498 0.1549884 0.1870339 0.3692279
 [7,] 0.4663629 0.2141407 0.4559722 0.3356657 0.4506066
 [8,] 1.0000000 0.4802597 0.6084648 0.4190176 0.5658346
 [9,] 0.4802597 1.0000000 0.2436131 0.1974907 0.1897375
[10,] 0.6084648 0.2436131 1.0000000 0.4960833 0.5528381
[11,] 0.4190176 0.1974907 0.4960833 1.0000000 0.3614707
[12,] 0.5658346 0.1897375 0.5528381 0.3614707 1.0000000
