           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.5190561 0.6423091 0.6533559 0.2201246 0.2343223 0.3304207
 [2,] 0.5190561 1.0000000 0.5834218 0.6248229 0.2968264 0.3684415 0.4944911
 [3,] 0.6423091 0.5834218 1.0000000 0.7536266 0.2680734 0.2689550 0.3040121
 [4,] 0.6533559 0.6248229 0.7536266 1.0000000 0.2968581 0.2847359 0.3699320
 [5,] 0.2201246 0.2968264 0.2680734 0.2968581 1.0000000 0.3304228 0.3498528
 [6,] 0.2343223 0.3684415 0.2689550 0.2847359 0.3304228 1.0000000 0.4259105
 [7,] 0.3304207 0.4944911 0.3040121 0.3699320 0.3498528 0.4259105 1.0000000
 [8,] 0.4673292 0.3986200 0.4040842 0.4049859 0.3772726 0.5105016 0.6516614
 [9,] 0.3829352 0.3369981 0.3525337 0.3263950 0.3492176 0.4123366 0.5319266
[10,] 0.3590236 0.4674727 0.2511049 0.3618200 0.2467137 0.3989639 0.6711192
[11,] 0.4456957 0.3958343 0.3685445 0.4938350 0.1338194 0.2345510 0.4847643
[12,] 0.3580797 0.4919428 0.4740224 0.4146168 0.3556105 0.4261207 0.6311820
           [,8]      [,9]     [,10]     [,11]     [,12]
 [1,] 0.4673292 0.3829352 0.3590236 0.4456957 0.3580797
 [2,] 0.3986200 0.3369981 0.4674727 0.3958343 0.4919428
 [3,] 0.4040842 0.3525337 0.2511049 0.3685445 0.4740224
 [4,] 0.4049859 0.3263950 0.3618200 0.4938350 0.4146168
 [5,] 0.3772726 0.3492176 0.2467137 0.1338194 0.3556105
 [6,] 0.5105016 0.4123366 0.3989639 0.2345510 0.4261207
 [7,] 0.6516614 0.5319266 0.6711192 0.4847643 0.6311820
 [8,] 1.0000000 0.7474697 0.6170871 0.5192671 0.5967750
 [9,] 0.7474697 1.0000000 0.5175282 0.3888787 0.4746446
[10,] 0.6170871 0.5175282 1.0000000 0.5506586 0.5212128
[11,] 0.5192671 0.3888787 0.5506586 1.0000000 0.3485568
[12,] 0.5967750 0.4746446 0.5212128 0.3485568 1.0000000
