             [,1]       [,2]       [,3]       [,4]      [,5]       [,6]
 [1,]  1.00000000 0.18970484 0.30235272 0.35269913 0.4319037 0.33622583
 [2,]  0.18970484 1.00000000 0.30111988 0.29736121 0.4340505 0.39342219
 [3,]  0.30235272 0.30111988 1.00000000 0.38140127 0.4480600 0.38513129
 [4,]  0.35269913 0.29736121 0.38140127 1.00000000 0.5688635 0.44038918
 [5,]  0.43190368 0.43405047 0.44805995 0.56886350 1.0000000 0.61927503
 [6,]  0.33622583 0.39342219 0.38513129 0.44038918 0.6192750 1.00000000
 [7,] -0.01992428 0.09840876 0.02200477 0.02241467 0.1931015 0.35880285
 [8,]  0.24382894 0.35998186 0.28017801 0.34906222 0.5968096 0.47202064
 [9,]  0.32562852 0.26237000 0.27592691 0.45164345 0.7076744 0.45285650
[10,]  0.25846821 0.16384932 0.24303709 0.39909709 0.4527183 0.46958530
[11,]  0.25778103 0.27223964 0.21871968 0.28510187 0.3150963 0.19548377
[12,]  0.32140270 0.20794282 0.05758817 0.28687563 0.4162326 0.05005897
[13,]  0.10554365 0.13914814 0.21550657 0.18200922 0.4352498 0.42469714
             [,7]       [,8]      [,9]     [,10]       [,11]       [,12]
 [1,] -0.01992428 0.24382894 0.3256285 0.2584682  0.25778103  0.32140270
 [2,]  0.09840876 0.35998186 0.2623700 0.1638493  0.27223964  0.20794282
 [3,]  0.02200477 0.28017801 0.2759269 0.2430371  0.21871968  0.05758817
 [4,]  0.02241467 0.34906222 0.4516435 0.3990971  0.28510187  0.28687563
 [5,]  0.19310148 0.59680957 0.7076744 0.4527183  0.31509632  0.41623260
 [6,]  0.35880285 0.47202064 0.4528565 0.4695853  0.19548377  0.05005897
 [7,]  1.00000000 0.24112098 0.1284648 0.0207087 -0.01752069 -0.07364743
 [8,]  0.24112098 1.00000000 0.4251762 0.2026833  0.21497887  0.07082515
 [9,]  0.12846480 0.42517616 1.0000000 0.4709259  0.43285174  0.35994715
[10,]  0.02070870 0.20268328 0.4709259 1.0000000  0.25904856  0.17623646
[11,] -0.01752069 0.21497887 0.4328517 0.2590486  1.00000000  0.24907568
[12,] -0.07364743 0.07082515 0.3599471 0.1762365  0.24907568  1.00000000
[13,]  0.13108198 0.33678401 0.3650470 0.2499544  0.01532144 -0.08481520
            [,13]
 [1,]  0.10554365
 [2,]  0.13914814
 [3,]  0.21550657
 [4,]  0.18200922
 [5,]  0.43524982
 [6,]  0.42469714
 [7,]  0.13108198
 [8,]  0.33678401
 [9,]  0.36504701
[10,]  0.24995440
[11,]  0.01532144
[12,] -0.08481520
[13,]  1.00000000
