              auth_bp     auth_imp      auth_rt     auth_sa   ili_champ
auth_bp    1.00000000 -0.365621698 -0.433006062 -0.29194620  0.07939712
auth_imp  -0.36562170  1.000000000  0.118376419  0.22011267  0.32159507
auth_rt   -0.43300606  0.118376419  1.000000000  0.38320748 -0.28282762
auth_sa   -0.29194620  0.220112670  0.383207478  1.00000000  0.13104830
ili_champ  0.07939712  0.321595071 -0.282827618  0.13104830  1.00000000
ili_emb   -0.42355122  0.571832716 -0.314862482  0.08784262  0.29693124
ili_ent    0.20301170  0.174619999 -0.150075915  0.18212737  0.34200056
ili_pro   -0.65605438  0.013626531  0.519415149  0.34008743  0.09869830
leadChal  -0.02355699  0.351054847  0.229891509  0.17716434 -0.04907515
tfl_id    -0.46316064  0.241855784 -0.046737822  0.17077870  0.18778120
tfl_insp  -0.34133690  0.187542489 -0.006417639  0.08893992  0.24479100
tfl_int    0.02479450  0.128220800  0.205847355  0.07002917  0.05997418
tfl_pers  -0.27849732  0.020264864  0.229204201  0.21200209 -0.21256898
tfl_sup    0.05890566  0.003878234  0.001030026  0.03139079  0.00136826
tfl_vis    0.17497312  0.174100720 -0.123718937 -0.01967151  0.06001298
              ili_emb     ili_ent     ili_pro    leadChal      tfl_id
auth_bp   -0.42355122  0.20301170 -0.65605438 -0.02355699 -0.46316064
auth_imp   0.57183272  0.17462000  0.01362653  0.35105485  0.24185578
auth_rt   -0.31486248 -0.15007592  0.51941515  0.22989151 -0.04673782
auth_sa    0.08784262  0.18212737  0.34008743  0.17716434  0.17077870
ili_champ  0.29693124  0.34200056  0.09869830 -0.04907515  0.18778120
ili_emb    1.00000000  0.17107108 -0.19076064  0.28062628  0.35487187
ili_ent    0.17107108  1.00000000 -0.03815329  0.30271174 -0.25713569
ili_pro   -0.19076064 -0.03815329  1.00000000 -0.28750510  0.19376918
leadChal   0.28062628  0.30271174 -0.28750510  1.00000000  0.03243318
tfl_id     0.35487187 -0.25713569  0.19376918  0.03243318  1.00000000
tfl_insp   0.14472724 -0.09579040  0.45911933 -0.30314778  0.34623382
tfl_int    0.02180795  0.07177618 -0.01318712  0.12286129 -0.15112107
tfl_pers   0.01830587  0.07925724  0.09706186  0.36097482  0.30178153
tfl_sup   -0.03890641  0.05625648 -0.06454635  0.15537608  0.17849970
tfl_vis    0.25097915  0.05563554 -0.37740727  0.12597240 -0.09574526
              tfl_insp     tfl_int    tfl_pers      tfl_sup     tfl_vis
auth_bp   -0.341336895  0.02479450 -0.27849732  0.058905662  0.17497312
auth_imp   0.187542489  0.12822080  0.02026486  0.003878234  0.17410072
auth_rt   -0.006417639  0.20584736  0.22920420  0.001030026 -0.12371894
auth_sa    0.088939916  0.07002917  0.21200209  0.031390789 -0.01967151
ili_champ  0.244790997  0.05997418 -0.21256898  0.001368260  0.06001298
ili_emb    0.144727241  0.02180795  0.01830587 -0.038906411  0.25097915
ili_ent   -0.095790402  0.07177618  0.07925724  0.056256482  0.05563554
ili_pro    0.459119334 -0.01318712  0.09706186 -0.064546346 -0.37740727
leadChal  -0.303147777  0.12286129  0.36097482  0.155376076  0.12597240
tfl_id     0.346233824 -0.15112107  0.30178153  0.178499699 -0.09574526
tfl_insp   1.000000000  0.02782633 -0.26840367 -0.073159966  0.18234631
tfl_int    0.027826326  1.00000000 -0.39950427  0.059671121  0.26163356
tfl_pers  -0.268403668 -0.39950427  1.00000000  0.212424968 -0.28175775
tfl_sup   -0.073159966  0.05967112  0.21242497  1.000000000  0.15574682
tfl_vis    0.182346315  0.26163356 -0.28175775  0.155746819  1.00000000
