           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.4157268 0.5056159 0.5308872 0.4367416 0.4885915 0.5620605
 [2,] 0.2807044 1.0000000 0.4901391 0.4848841 0.5018574 0.4399157 0.5234319
 [3,] 0.3794100 0.3694949 1.0000000 0.5596867 0.5846891 0.5048543 0.5289033
 [4,] 0.4154494 0.3661035 0.4477626 1.0000000 0.5526847 0.6011989 0.6014753
 [5,] 0.3095438 0.3863026 0.4787749 0.4430822 1.0000000 0.5134630 0.6585327
 [6,] 0.3690571 0.3095126 0.3816944 0.4993633 0.3982063 1.0000000 0.6206560
 [7,] 0.4498257 0.4077813 0.4067220 0.4951292 0.5644666 0.5208784 1.0000000
 [8,] 0.4173109 0.4728731 0.3789933 0.5113021 0.5322623 0.4725190 0.6316073
 [9,] 0.4082926 0.4549508 0.4482848 0.4921319 0.4846577 0.5020464 0.5551693
[10,] 0.1129308 0.1954479 0.1400617 0.1396053 0.2279658 0.1521888 0.2793240
[11,] 0.3899546 0.3459533 0.3581512 0.4981706 0.5283634 0.5541043 0.6647414
[12,] 0.3314270 0.2637025 0.3251017 0.4632276 0.3916889 0.4421941 0.4779788
[13,] 0.3387088 0.3477297 0.3027669 0.3627834 0.3299002 0.2015681 0.4315361
[14,] 0.3859943 0.3022557 0.1665966 0.3667114 0.3809582 0.4008090 0.3873502
[15,] 0.2031939 0.2291352 0.2966744 0.2649448 0.3172931 0.4367482 0.3511058
           [,8]      [,9]      [,10]     [,11]     [,12]     [,13]      [,14]
 [1,] 0.5307091 0.5262784 0.25782491 0.5120434 0.4547255 0.4624960 0.50609349
 [2,] 0.5796959 0.5644215 0.33144051 0.4717134 0.3960710 0.4718733 0.43580430
 [3,] 0.4986654 0.5590718 0.28238191 0.4844848 0.4499322 0.4299460 0.30353125
 [4,] 0.6085262 0.5932257 0.27453475 0.5974601 0.5682556 0.4840644 0.48689133
 [5,] 0.6314679 0.5878870 0.35855224 0.6284497 0.5104701 0.4549347 0.49983499
 [6,] 0.5788200 0.6064038 0.29064954 0.6477239 0.5563901 0.3408100 0.51900659
 [7,] 0.7142286 0.6517783 0.40868021 0.7395787 0.5846478 0.5417063 0.50809428
 [8,] 1.0000000 0.6372504 0.37124797 0.6887877 0.4670363 0.4368989 0.49134592
 [9,] 0.5408253 1.0000000 0.53599422 0.6026266 0.6215344 0.4127118 0.30987195
[10,] 0.2417062 0.4221681 1.00000000 0.3572788 0.2711148 0.2616197 0.20351399
[11,] 0.6020606 0.5020224 0.22871064 1.0000000 0.6200675 0.5907088 0.54306667
[12,] 0.3452278 0.5239035 0.13267736 0.5206184 1.0000000 0.4666686 0.40593692
[13,] 0.3047756 0.2854501 0.11837242 0.4855318 0.3373996 1.0000000 0.45820214
[14,] 0.3700836 0.1715255 0.06092098 0.4317274 0.2723477 0.3292356 1.00000000
[15,] 0.4681754 0.4809113 0.23146380 0.4278697 0.3338671 0.1309027 0.05481423
          [,15]
 [1,] 0.3400580
 [2,] 0.3618438
 [3,] 0.4266754
 [4,] 0.3941927
 [5,] 0.4422276
 [6,] 0.5498030
 [7,] 0.4722097
 [8,] 0.5756670
 [9,] 0.5883134
[10,] 0.3638708
[11,] 0.5391840
[12,] 0.4584256
[13,] 0.2675809
[14,] 0.1918017
[15,] 1.0000000
