           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.4185275 0.5582905 0.6534798 0.3744092 0.3500059 0.3111326
 [2,] 0.4185275 1.0000000 0.5004135 0.4125823 0.4067897 0.3278435 0.5624306
 [3,] 0.5582905 0.5004135 1.0000000 0.6003063 0.4310234 0.4454769 0.4205062
 [4,] 0.6534798 0.4125823 0.6003063 1.0000000 0.4561542 0.3808423 0.3283568
 [5,] 0.3744092 0.4067897 0.4310234 0.4561542 1.0000000 0.4622276 0.5050061
 [6,] 0.3500059 0.3278435 0.4454769 0.3808423 0.4622276 1.0000000 0.4019220
 [7,] 0.3111326 0.5624306 0.4205062 0.3283568 0.5050061 0.4019220 1.0000000
 [8,] 0.4720259 0.4352450 0.4909784 0.4670760 0.5670388 0.4587345 0.5623054
 [9,] 0.4622686 0.2970282 0.3387661 0.3658747 0.4365520 0.4065080 0.3641083
[10,] 0.3262403 0.4140004 0.4134252 0.3335125 0.4474645 0.3245754 0.5633721
[11,] 0.3633183 0.4008737 0.3848961 0.3009839 0.4870133 0.3400835 0.4560013
[12,] 0.3907352 0.4821553 0.4424715 0.3968989 0.5137997 0.4813927 0.5516421
           [,8]      [,9]     [,10]     [,11]     [,12]
 [1,] 0.4720259 0.4622686 0.3262403 0.3633183 0.3907352
 [2,] 0.4352450 0.2970282 0.4140004 0.4008737 0.4821553
 [3,] 0.4909784 0.3387661 0.4134252 0.3848961 0.4424715
 [4,] 0.4670760 0.3658747 0.3335125 0.3009839 0.3968989
 [5,] 0.5670388 0.4365520 0.4474645 0.4870133 0.5137997
 [6,] 0.4587345 0.4065080 0.3245754 0.3400835 0.4813927
 [7,] 0.5623054 0.3641083 0.5633721 0.4560013 0.5516421
 [8,] 1.0000000 0.5805064 0.6747291 0.5248887 0.6328709
 [9,] 0.5805064 1.0000000 0.3900146 0.3619624 0.3316755
[10,] 0.6747291 0.3900146 1.0000000 0.5837438 0.6339973
[11,] 0.5248887 0.3619624 0.5837438 1.0000000 0.4859573
[12,] 0.6328709 0.3316755 0.6339973 0.4859573 1.0000000
