           [,1]      [,2]      [,3]      [,4]      [,5]      [,6]      [,7]
 [1,] 1.0000000 0.6021028 0.7056480 0.7085895 0.3960841 0.3963932 0.4663886
 [2,] 0.6021028 1.0000000 0.6523576 0.6867234 0.4430539 0.4881418 0.5949385
 [3,] 0.7056480 0.6523576 1.0000000 0.7946698 0.4208641 0.4388581 0.4481561
 [4,] 0.7085895 0.6867234 0.7946698 1.0000000 0.4338034 0.4465233 0.5030504
 [5,] 0.3960841 0.4430539 0.4208641 0.4338034 1.0000000 0.4716001 0.4755563
 [6,] 0.3963932 0.4881418 0.4388581 0.4465233 0.4716001 1.0000000 0.5495129
 [7,] 0.4663886 0.5949385 0.4481561 0.5030504 0.4755563 0.5495129 1.0000000
 [8,] 0.5713769 0.5051894 0.5312831 0.5331176 0.5042364 0.6070220 0.7137527
 [9,] 0.5066476 0.4617097 0.4791080 0.4664664 0.4697055 0.5255196 0.6157058
[10,] 0.4894332 0.5640033 0.4043786 0.4930009 0.4126565 0.5084261 0.7292673
[11,] 0.5482842 0.5070413 0.4803760 0.5953630 0.3257954 0.3849180 0.5848634
[12,] 0.4932453 0.5902813 0.5749336 0.5397187 0.4806502 0.5538815 0.7086202
           [,8]      [,9]     [,10]     [,11]     [,12]
 [1,] 0.5713769 0.5066476 0.4894332 0.5482842 0.4932453
 [2,] 0.5051894 0.4617097 0.5640033 0.5070413 0.5902813
 [3,] 0.5312831 0.4791080 0.4043786 0.4803760 0.5749336
 [4,] 0.5331176 0.4664664 0.4930009 0.5953630 0.5397187
 [5,] 0.5042364 0.4697055 0.4126565 0.3257954 0.4806502
 [6,] 0.6070220 0.5255196 0.5084261 0.3849180 0.5538815
 [7,] 0.7137527 0.6157058 0.7292673 0.5848634 0.7086202
 [8,] 1.0000000 0.7866583 0.6798821 0.6071336 0.6756578
 [9,] 0.7866583 1.0000000 0.5931366 0.5001027 0.5731016
[10,] 0.6798821 0.5931366 1.0000000 0.6382404 0.6058260
[11,] 0.6071336 0.5001027 0.6382404 1.0000000 0.4716905
[12,] 0.6756578 0.5731016 0.6058260 0.4716905 1.0000000
