             [,1]        [,2]        [,3]        [,4]        [,5]        [,6]
 [1,]  1.00000000  0.15738605 -0.09546556 -0.51700020 -0.08906237  0.02981291
 [2,]  0.15738605  1.00000000 -0.05089024 -0.46948777 -0.20646893  0.20335939
 [3,] -0.09546556 -0.05089024  1.00000000 -0.35893647  0.18163861 -0.06017872
 [4,] -0.51700020 -0.46948777 -0.35893647  1.00000000 -0.21656761 -0.51885825
 [5,] -0.08906237 -0.20646893  0.18163861 -0.21656761  1.00000000 -0.06277967
 [6,]  0.02981291  0.20335939 -0.06017872 -0.51885825 -0.06277967  1.00000000
 [7,]  0.02006712  0.02776078  0.26425214 -0.40336711  0.10939296  0.07642862
 [8,]  0.20042758  0.13404332  0.09079350 -0.60790149 -0.21181747  0.19481111
 [9,]  0.03671297  0.03679701 -0.09703177 -0.51127293 -0.09317257  0.05081380
[10,] -0.12672083 -0.13257047 -0.06156544  0.05611337  0.14714158 -0.17259682
[11,]  0.13093028  0.55243952  0.02033582 -0.56801837 -0.11337703  0.30215714
[12,] -0.05421224  0.24109194  0.16465846 -0.35735606  0.15839856 -0.03042350
             [,7]        [,8]        [,9]       [,10]       [,11]       [,12]
 [1,]  0.02006712  0.20042758  0.03671297 -0.12672083  0.13093028 -0.05421224
 [2,]  0.02776078  0.13404332  0.03679701 -0.13257047  0.55243952  0.24109194
 [3,]  0.26425214  0.09079350 -0.09703177 -0.06156544  0.02033582  0.16465846
 [4,] -0.40336711 -0.60790149 -0.51127293  0.05611337 -0.56801837 -0.35735606
 [5,]  0.10939296 -0.21181747 -0.09317257  0.14714158 -0.11337703  0.15839856
 [6,]  0.07642862  0.19481111  0.05081380 -0.17259682  0.30215714 -0.03042350
 [7,]  1.00000000  0.15046217  0.07467342 -0.05164360  0.10624038  0.03350745
 [8,]  0.15046217  1.00000000  0.07837475 -0.33934213  0.26723323 -0.07967012
 [9,]  0.07467342  0.07837475  1.00000000 -0.09137025  0.11605147  0.05333364
[10,] -0.05164360 -0.33934213 -0.09137025  1.00000000 -0.23331766  0.03712242
[11,]  0.10624038  0.26723323  0.11605147 -0.23331766  1.00000000  0.25975067
[12,]  0.03350745 -0.07967012  0.05333364  0.03712242  0.25975067  1.00000000
