             [,1]        [,2]         [,3]       [,4]         [,5]        [,6]
 [1,]  1.00000000  0.05979357 -0.142123138 -0.5154695  0.118387113 -0.12416958
 [2,]  0.05979357  1.00000000 -0.035708444 -0.3683670 -0.095645051  0.20983139
 [3,] -0.14212314 -0.03570844  1.000000000 -0.2951787 -0.046118451 -0.19190764
 [4,] -0.51546952 -0.36836699 -0.295178718  1.0000000 -0.303969194 -0.42591075
 [5,]  0.11838711 -0.09564505 -0.046118451 -0.3039692  1.000000000 -0.08671245
 [6,] -0.12416958  0.20983139 -0.191907639 -0.4259107 -0.086712450  1.00000000
 [7,] -0.16048528 -0.07898498 -0.006935013 -0.2257845 -0.061341582 -0.04881965
 [8,] -0.02520346 -0.01916659  0.021220582 -0.5282827  0.005558066  0.11593892
 [9,] -0.03399727 -0.11632823 -0.068317817 -0.3798518  0.025836782 -0.08606101
[10,] -0.11324982 -0.09104990  0.029300842 -0.1039551  0.119194407 -0.09085758
[11,] -0.03529403  0.47511745 -0.024090181 -0.3778804 -0.170838444  0.18168384
[12,] -0.02372093  0.05629666  0.177104674 -0.3880378  0.136349400 -0.02958221
              [,7]         [,8]         [,9]       [,10]       [,11]
 [1,] -0.160485276 -0.025203463 -0.033997266 -0.11324982 -0.03529403
 [2,] -0.078984981 -0.019166589 -0.116328227 -0.09104990  0.47511745
 [3,] -0.006935013  0.021220582 -0.068317817  0.02930084 -0.02409018
 [4,] -0.225784544 -0.528282701 -0.379851780 -0.10395506 -0.37788039
 [5,] -0.061341582  0.005558066  0.025836782  0.11919441 -0.17083844
 [6,] -0.048819647  0.115938924 -0.086061008 -0.09085758  0.18168384
 [7,]  1.000000000 -0.202949789  0.132796129  0.04805507 -0.08847026
 [8,] -0.202949789  1.000000000 -0.191754360 -0.22116225  0.07994481
 [9,]  0.132796129 -0.191754360  1.000000000  0.09277271 -0.16046467
[10,]  0.048055075 -0.221162253  0.092772706  1.00000000 -0.14110870
[11,] -0.088470257  0.079944808 -0.160464675 -0.14110870  1.00000000
[12,]  0.039698592 -0.010766484 -0.005492183  0.03003021  0.02839237
             [,12]
 [1,] -0.023720925
 [2,]  0.056296655
 [3,]  0.177104674
 [4,] -0.388037842
 [5,]  0.136349400
 [6,] -0.029582205
 [7,]  0.039698592
 [8,] -0.010766484
 [9,] -0.005492183
[10,]  0.030030207
[11,]  0.028392372
[12,]  1.000000000
