              bfi_agree   bfi_consc   bfi_extrav   bfi_neur    bfi_open
bfi_agree   1.000000000  0.15142981 -0.007813078 -0.4645168  0.06286962
bfi_consc   0.151429811  1.00000000 -0.043269367 -0.4699932 -0.09165965
bfi_extrav -0.007813078 -0.04326937  1.000000000 -0.3542407  0.09907312
bfi_neur   -0.464516829 -0.46999321 -0.354240702  1.0000000 -0.25140281
bfi_open    0.062869616 -0.09165965  0.099073119 -0.2514028  1.00000000
ffmq_aa    -0.146147411  0.14117447 -0.150572855 -0.3468789 -0.27093911
ffmq_de     0.083002896 -0.01670097  0.174872603 -0.2652826  0.18591793
ffmq_nj    -0.003897572  0.09314332 -0.106253446 -0.4261343 -0.19042209
ffmq_nr     0.011278865  0.10177719 -0.023897120 -0.5320713  0.10955540
ffmq_ob    -0.005159608 -0.03550820 -0.070848304 -0.2111765  0.26467182
grt         0.078248128  0.61871602 -0.037419436 -0.3921382 -0.15720776
har         0.083551876  0.24955985  0.208021056 -0.4392461  0.10744806
leadChal   -0.068376269  0.20542559  0.303027471 -0.4121926  0.15073908
lnr         0.038148436  0.32018750  0.121528620 -0.4157270 -0.03158826
mt          0.139841870  0.40272553  0.189705056 -0.4735217  0.18094733
               ffmq_aa     ffmq_de      ffmq_nj     ffmq_nr      ffmq_ob
bfi_agree  -0.14614741  0.08300290 -0.003897572  0.01127887 -0.005159608
bfi_consc   0.14117447 -0.01670097  0.093143323  0.10177719 -0.035508204
bfi_extrav -0.15057285  0.17487260 -0.106253446 -0.02389712 -0.070848304
bfi_neur   -0.34687887 -0.26528256 -0.426134318 -0.53207126 -0.211176493
bfi_open   -0.27093911  0.18591793 -0.190422088  0.10955540  0.264671818
ffmq_aa     1.00000000 -0.10871922  0.223044872 -0.18229373 -0.253976803
ffmq_de    -0.10871922  1.00000000 -0.081642060  0.03253944  0.136421097
ffmq_nj     0.22304487 -0.08164206  1.000000000 -0.04413275 -0.270128270
ffmq_nr    -0.18229373  0.03253944 -0.044132751  1.00000000  0.059477231
ffmq_ob    -0.25397680  0.13642110 -0.270128270  0.05947723  1.000000000
grt         0.13865828 -0.03335670  0.107533050  0.13406694 -0.077239474
har        -0.03127588  0.19337563  0.066542680  0.08531796  0.125269014
leadChal   -0.05572606  0.03630843 -0.067605556  0.12454276  0.054413597
lnr         0.17608048  0.06024649  0.093395347 -0.01967109 -0.042951587
mt         -0.10982131  0.23018285 -0.007437619  0.29970377  0.223048898
                   grt         har    leadChal         lnr           mt
bfi_agree   0.07824813  0.08355188 -0.06837627  0.03814844  0.139841870
bfi_consc   0.61871602  0.24955985  0.20542559  0.32018750  0.402725529
bfi_extrav -0.03741944  0.20802106  0.30302747  0.12152862  0.189705056
bfi_neur   -0.39213819 -0.43924606 -0.41219256 -0.41572700 -0.473521658
bfi_open   -0.15720776  0.10744806  0.15073908 -0.03158826  0.180947328
ffmq_aa     0.13865828 -0.03127588 -0.05572606  0.17608048 -0.109821312
ffmq_de    -0.03335670  0.19337563  0.03630843  0.06024649  0.230182855
ffmq_nj     0.10753305  0.06654268 -0.06760556  0.09339535 -0.007437619
ffmq_nr     0.13406694  0.08531796  0.12454276 -0.01967109  0.299703769
ffmq_ob    -0.07723947  0.12526901  0.05441360 -0.04295159  0.223048898
grt         1.00000000  0.22125221  0.20065283  0.36433631  0.391956468
har         0.22125221  1.00000000  0.19575365  0.22293291  0.459537020
leadChal    0.20065283  0.19575365  1.00000000  0.29328067  0.298757005
lnr         0.36433631  0.22293291  0.29328067  1.00000000  0.187944387
mt          0.39195647  0.45953702  0.29875701  0.18794439  1.000000000
