            [,1]       [,2]       [,3]        [,4]       [,5]       [,6]
 [1,]  1.0000000  0.4203381  0.2004247 -0.27375017 0.19561760  0.3155473
 [2,]  0.4203381  1.0000000  0.2409754 -0.21663518 0.08705400  0.4554948
 [3,]  0.2004247  0.2409754  1.0000000 -0.08232490 0.44732228  0.2269786
 [4,] -0.2737502 -0.2166352 -0.0823249  1.00000000 0.07309637 -0.2742731
 [5,]  0.1956176  0.0870540  0.4473223  0.07309637 1.00000000  0.2257957
 [6,]  0.3155473  0.4554948  0.2269786 -0.27427313 0.22579569  1.0000000
 [7,]  0.3056222  0.3103744  0.5083794 -0.13422647 0.38840395  0.3534237
 [8,]  0.4608736  0.4035862  0.3630012 -0.38747294 0.07536203  0.4558004
 [9,]  0.3142549  0.3097572  0.1896494 -0.26320980 0.19876034  0.3289582
[10,]  0.1585200  0.1537017  0.2283123  0.33184307 0.40869464  0.1178510
[11,]  0.3978310  0.7234668  0.3082514 -0.34029591 0.18057009  0.5434181
[12,]  0.2324737  0.4866532  0.4234981 -0.07869327 0.42572562  0.2502922
            [,7]        [,8]       [,9]       [,10]       [,11]       [,12]
 [1,]  0.3056222  0.46087364  0.3142549  0.15852003  0.39783096  0.23247367
 [2,]  0.3103744  0.40358618  0.3097572  0.15370169  0.72346679  0.48665320
 [3,]  0.5083794  0.36300124  0.1896494  0.22831226  0.30825138  0.42349812
 [4,] -0.1342265 -0.38747294 -0.2632098  0.33184307 -0.34029591 -0.07869327
 [5,]  0.3884040  0.07536203  0.1987603  0.40869464  0.18057009  0.42572562
 [6,]  0.3534237  0.45580042  0.3289582  0.11785100  0.54341812  0.25029220
 [7,]  1.0000000  0.41520618  0.3458151  0.23916278  0.37709139  0.31712684
 [8,]  0.4152062  1.00000000  0.3526740 -0.06111792  0.51823744  0.20713937
 [9,]  0.3458151  0.35267399  1.0000000  0.19226147  0.38608275  0.33936580
[10,]  0.2391628 -0.06111792  0.1922615  1.00000000  0.05310201  0.31393631
[11,]  0.3770914  0.51823744  0.3860827  0.05310201  1.00000000  0.50167774
[12,]  0.3171268  0.20713937  0.3393658  0.31393631  0.50167774  1.00000000
