             [,1]        [,2]        [,3]        [,4]        [,5]        [,6]
 [1,]  1.00000000  0.95542204  0.81171491  0.38952443 -0.23464438  0.18346629
 [2,]  0.41083046  1.00000000  0.88296123  0.54851627  0.34353405  0.06443383
 [3,]  0.50055701  0.57767741  1.00000000  0.49235131  0.55948837  0.19221736
 [4,]  0.33462372  0.41230245  0.17057135  1.00000000  0.09568592  0.06068851
 [5,] -0.29046376  0.03923969  0.25478655  0.05352105  1.00000000  0.78194089
 [6,] -0.13917858 -0.09647576 -0.03593445 -0.19438661  0.44160027  1.00000000
 [7,] -0.23184232 -0.22838177  0.25491089  0.18803020  0.42243265 -0.17681349
 [8,]  0.33426316 -0.07963241  0.06485063  0.07004060  0.09875874  0.13926644
 [9,]  0.32729636  0.08712673  0.32272685  0.02733799 -0.01759478  0.18202392
[10,]  0.05794747  0.11158298  0.05480520 -0.15252146  0.16056923  0.27465310
[11,]  0.39702301  0.30306032  0.34262994  0.19854385  0.02275121 -0.08254474
[12,] -0.20481464  0.07738604  0.05137610 -0.04310820  0.18418272  0.01167946
              [,7]        [,8]         [,9]       [,10]       [,11]       [,12]
 [1,]  0.035516445  0.39098958  0.514310561  0.37542691  0.41326629  0.04582991
 [2,]  0.004330197  0.28158736  0.470432647  0.34760969  0.32446277  0.10422684
 [3,]  0.661326866  0.12257958  0.334487011  0.39275172  0.44080919  0.07432735
 [4,]  0.217969456  0.35014032  0.100003294 -0.06034166  0.38685490  0.35331247
 [5,]  0.579538823  0.13070202  0.187612125  0.19344471  0.24882295  0.23613161
 [6,]  0.440085219  0.15903420  0.199535562  0.29877132 -0.01566923  0.06824478
 [7,]  1.000000000 -0.08563775  0.760530494 -0.38367174  0.28085055  0.11301520
 [8,] -0.107282738  1.00000000  0.016450871  0.23758321  0.29372443  0.12462185
 [9,]  0.268653455 -0.01475590  1.000000000  0.04476486 -0.12962165  0.32243417
[10,] -0.401621011  0.13723261  0.003001468  1.00000000  0.23867081 -0.04363335
[11,]  0.124986702  0.14130370 -0.153031906 -0.15643841  1.00000000  0.15180143
[12,]  0.057068588  0.06319922  0.126705916 -0.08633114 -0.20288084  1.00000000
