              [,1]        [,2]        [,3]         [,4]         [,5]
 [1,]  1.000000000  0.36197300  0.17862605 -0.244447611  0.415160490
 [2,]  0.215269388  1.00000000  0.27592361 -0.060134693  0.224379736
 [3,]  0.017357706  0.12094411  1.00000000  0.004431613  0.269648113
 [4,] -0.384109194 -0.21815706 -0.14665997  1.000000000  0.006979535
 [5,]  0.271559692  0.06626236  0.11482706 -0.151153308  1.000000000
 [6,]  0.031351279  0.35150703 -0.02998410 -0.281354481  0.074802216
 [7,]  0.001865859  0.07539762  0.14942930 -0.067766438  0.098581406
 [8,]  0.136425326  0.13722569  0.17799057 -0.402322811  0.164440367
 [9,]  0.128238784  0.04161125  0.08620341 -0.234791178  0.185040380
[10,]  0.044869326  0.07037018  0.18428193  0.053965117  0.269547837
[11,]  0.121061842  0.58879336  0.13555024 -0.231952404 -0.016949101
[12,]  0.135031593  0.21231049  0.33022733 -0.241375337  0.292017934
             [,6]        [,7]        [,8]         [,9]      [,10]       [,11]
 [1,]  0.19232526  0.16170669  0.29078018  0.285264263 0.20426428  0.27541515
 [2,]  0.48161154  0.22993990  0.29236529  0.196510554 0.22261198  0.68852624
 [3,]  0.12630132  0.30057053  0.32912908  0.238884373 0.33560553  0.29038909
 [4,] -0.13031898  0.09474597 -0.26887202 -0.082130604 0.21208398 -0.07694175
 [5,]  0.23273386  0.25296360  0.31753989  0.337991969 0.41494756  0.14242345
 [6,]  1.00000000  0.26119729  0.40644232  0.225599397 0.22172917  0.46552341
 [7,]  0.10871224  1.00000000  0.12031449  0.421716869 0.35943480  0.22461936
 [8,]  0.26660853 -0.04281277  1.00000000  0.122455178 0.10102456  0.38553310
 [9,]  0.06916696  0.27996075 -0.03491405  1.000000000 0.39311018  0.16327445
[10,]  0.06315519  0.20892208 -0.05958078  0.245532672 1.00000000  0.17405614
[11,]  0.32827221  0.06886234  0.23635814  0.003602412 0.02127817  1.00000000
[12,]  0.13002565  0.19031301  0.14721144  0.154518137 0.18424894  0.18826603
            [,12]
 [1,]  0.29006926
 [2,]  0.36058958
 [3,]  0.47005939
 [4,] -0.08903566
 [5,]  0.43280411
 [6,]  0.28826108
 [7,]  0.34416951
 [8,]  0.30211453
 [9,]  0.30590009
[10,]  0.33279765
[11,]  0.34388863
[12,]  1.00000000
