             bfi_agree   bfi_consc    bfi_extrav    bfi_neur     bfi_open
bfi_agree   1.00000000  0.29068106  0.1370177991 -0.34086729  0.206898884
bfi_consc   0.29068106  1.00000000  0.0995014961 -0.34737363  0.055787937
bfi_extrav  0.13701780  0.09950150  1.0000000000 -0.21811149  0.236895842
bfi_neur   -0.34086729 -0.34737363 -0.2181114862  1.00000000 -0.106833694
bfi_open    0.20689888  0.05578794  0.2368958418 -0.10683369  1.000000000
ffmq_aa    -0.00187083  0.27788610 -0.0006206589 -0.21667193 -0.134890123
ffmq_de     0.22045344  0.13058519  0.3128110877 -0.12449790  0.320809282
ffmq_nj     0.13839405  0.23412064  0.0401843972 -0.30166725 -0.046046303
ffmq_nr     0.16178777  0.24093868  0.1178788616 -0.41554734  0.247552825
ffmq_ob     0.13553979  0.10763927  0.0800650000 -0.07043208  0.393831859
grt         0.21943989  0.69842539  0.1039731672 -0.26608322 -0.009900919
har         0.22444482  0.38137887  0.3442400923 -0.31239617  0.249804524
leadChal    0.08338501  0.33885605  0.4269356930 -0.27872464  0.288862490
lnr         0.18249496  0.44361722  0.2582402727 -0.28552049  0.111671823
mt          0.27714131  0.51938950  0.3250117155 -0.34811408  0.318234779
                 ffmq_aa     ffmq_de     ffmq_nj    ffmq_nr     ffmq_ob
bfi_agree  -0.0018708301  0.22045344  0.13839405  0.1617878  0.13553979
bfi_consc   0.2778861012  0.13058519  0.23412064  0.2409387  0.10763927
bfi_extrav -0.0006206589  0.31281109  0.04018440  0.1178789  0.08006500
bfi_neur   -0.2166719267 -0.12449790 -0.30166725 -0.4155473 -0.07043208
bfi_open   -0.1348901234  0.32080928 -0.04604630  0.2475528  0.39383186
ffmq_aa     1.0000000000  0.03666568  0.35258765 -0.0395380 -0.11656250
ffmq_de     0.0366656799  1.00000000  0.06570451  0.1774370  0.27709938
ffmq_nj     0.3525876492  0.06570451  1.00000000  0.1037756 -0.13059238
ffmq_nr    -0.0395379963  0.17743702  0.10377558  1.0000000  0.20577966
ffmq_ob    -0.1165625047  0.27709938 -0.13059238  0.2057797  1.00000000
grt         0.2776287491  0.11029264  0.24248951  0.2732159  0.06757087
har         0.1125779652  0.32807665  0.20531224  0.2283699  0.26394625
leadChal    0.0859414076  0.17865611  0.07467340  0.2675044  0.19640283
lnr         0.3130225815  0.20502975  0.23217899  0.1203513  0.09902783
mt          0.0339753256  0.36525859  0.13497231  0.4251085  0.35310386
                    grt        har    leadChal         lnr          mt
bfi_agree   0.219439889  0.2244448  0.08338501  0.18249496  0.27714131
bfi_consc   0.698425394  0.3813789  0.33885605  0.44361722  0.51938950
bfi_extrav  0.103973167  0.3442401  0.42693569  0.25824027  0.32501172
bfi_neur   -0.266083223 -0.3123962 -0.27872464 -0.28552049 -0.34811408
bfi_open   -0.009900919  0.2498045  0.28886249  0.11167182  0.31823478
ffmq_aa     0.277628749  0.1125780  0.08594141  0.31302258  0.03397533
ffmq_de     0.110292644  0.3280766  0.17865611  0.20502975  0.36525859
ffmq_nj     0.242489512  0.2053122  0.07467340  0.23217899  0.13497231
ffmq_nr     0.273215874  0.2283699  0.26750437  0.12035135  0.42510852
ffmq_ob     0.067570874  0.2639463  0.19640283  0.09902783  0.35310386
grt         1.000000000  0.3538692  0.33012794  0.48158131  0.50319395
har         0.353869243  1.0000000  0.32793706  0.35474457  0.56565378
leadChal    0.330127944  0.3279371  1.00000000  0.42022525  0.42482361
lnr         0.481581308  0.3547446  0.42022525  1.00000000  0.31790944
mt          0.503193948  0.5656538  0.42482361  0.31790944  1.00000000
