            [,1]       [,2]        [,3]       [,4]        [,5]        [,6]
[1,]  1.00000000  0.2129523 -0.07409371 -0.6465596 -0.08172561  0.24792616
[2,]  0.21295228  1.0000000 -0.02183330 -0.5604940 -0.22993867  0.29141401
[3,] -0.07409371 -0.0218333  1.00000000 -0.4145464  0.23111318  0.22259122
[4,] -0.64655957 -0.5604940 -0.41454643  1.0000000 -0.23594416 -0.88792878
[5,] -0.08172561 -0.2299387  0.23111318 -0.2359442  1.00000000  0.01161217
[6,]  0.24792616  0.2914140  0.22259122 -0.8879288  0.01161217  1.00000000
[7,] -0.02544769  0.2935495  0.22378411 -0.4174789  0.22711164  0.10331684
            [,7]
[1,] -0.02544769
[2,]  0.29354951
[3,]  0.22378411
[4,] -0.41747889
[5,]  0.22711164
[6,]  0.10331684
[7,]  1.00000000
