            [,1]        [,2]        [,3]        [,4]        [,5]       [,6]
[1,]  1.00000000  0.29575052  0.05267504 -0.40554007  0.05259555  0.3337656
[2,]  0.29575052  1.00000000  0.10033234 -0.35228297 -0.06179574  0.3592206
[3,]  0.05267504  0.10033234  1.00000000 -0.22470591  0.32591212  0.3099376
[4,] -0.40554007 -0.35228297 -0.22470591  1.00000000 -0.07187518 -0.5940193
[5,]  0.05259555 -0.06179574  0.32591212 -0.07187518  1.00000000  0.1289455
[6,]  0.33376565  0.35922062  0.30993763 -0.59401934  0.12894546  1.0000000
[7,]  0.09219805  0.37436565  0.30367221 -0.22180868  0.30292314  0.2020584
            [,7]
[1,]  0.09219805
[2,]  0.37436565
[3,]  0.30367221
[4,] -0.22180868
[5,]  0.30292314
[6,]  0.20205838
[7,]  1.00000000
