           [,1]        [,2]        [,3]        [,4]       [,5]       [,6]
[1,]  1.0000000  0.36043538  0.14589169 -0.24825199 0.14274138  0.4010246
[2,]  0.3604354  1.00000000  0.18999198 -0.19942837 0.05090757  0.4150827
[3,]  0.1458917  0.18999198  1.00000000 -0.09207084 0.38980050  0.3712392
[4,] -0.2482520 -0.19942837 -0.09207084  1.00000000 0.04181717 -0.3979643
[5,]  0.1427414  0.05090757  0.38980050  0.04181717 1.00000000  0.2191121
[6,]  0.4010246  0.41508274  0.37123922 -0.39796428 0.21911206  1.0000000
[7,]  0.1791221  0.42973447  0.36837394 -0.08713017 0.36593465  0.2820201
            [,7]
[1,]  0.17912208
[2,]  0.42973447
[3,]  0.36837394
[4,] -0.08713017
[5,]  0.36593465
[6,]  0.28202007
[7,]  1.00000000
