           [,1]        [,2]        [,3]        [,4]        [,5]       [,6]
[1,]  1.0000000  0.28934244  0.12919612 -0.21490033  0.34821377  0.2137164
[2,]  0.2893424  1.00000000  0.21026212 -0.06901931  0.16133300  0.3303039
[3,]  0.1291961  0.21026212  1.00000000 -0.01284095  0.21934584  0.2730469
[4,] -0.2149003 -0.06901931 -0.01284095  1.00000000 -0.01947824 -0.2369157
[5,]  0.3482138  0.16133300  0.21934584 -0.01947824  1.00000000  0.3003020
[6,]  0.2137164  0.33030395  0.27304690 -0.23691566  0.30030204  1.0000000
[7,]  0.2302530  0.29337194  0.39738612 -0.08691277  0.35747964  0.3542810
            [,7]
[1,]  0.23025299
[2,]  0.29337194
[3,]  0.39738612
[4,] -0.08691277
[5,]  0.35747964
[6,]  0.35428099
[7,]  1.00000000
