Principal Components Analysis
Call: principal(r = fl17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC4   RC2  RC10   RC1   RC7   RC6   RC3   RC8   RC9   RC5   h2
VMItrain_1   0.01  0.20  0.30 -0.06  0.23  0.26 -0.01  0.04  0.11 -0.08 0.27
VMItrain_2   0.04  0.27  0.26 -0.14  0.28  0.23  0.05  0.06  0.16 -0.06 0.33
VMItrain_3  -0.09  0.06  0.24 -0.08  0.17  0.32 -0.02  0.12 -0.02 -0.03 0.22
VMItrain_4  -0.05  0.18  0.29  0.02  0.27  0.34 -0.03  0.14  0.00  0.05 0.33
val_1        0.15 -0.03  0.04 -0.05  0.18  0.50  0.25 -0.07 -0.02  0.13 0.40
val_2       -0.08 -0.02 -0.17 -0.03  0.05  0.06  0.17 -0.18 -0.40  0.20 0.31
val_3       -0.07  0.10 -0.11  0.00  0.01  0.13  0.00  0.40 -0.09  0.00 0.21
val_4       -0.08  0.27 -0.02  0.00  0.16  0.02  0.23 -0.16 -0.15  0.19 0.24
val_5       -0.20  0.15 -0.14 -0.02 -0.06 -0.29 -0.09  0.23 -0.23  0.26 0.35
val_6        0.05 -0.01 -0.03 -0.01  0.25  0.32  0.33  0.11 -0.02 -0.04 0.29
val_7        0.06 -0.01  0.18 -0.03  0.16 -0.35 -0.04  0.21  0.09  0.09 0.25
val_8        0.13  0.10  0.10  0.10  0.12  0.22 -0.06  0.42  0.03  0.02 0.30
val_9        0.03 -0.10  0.11  0.01  0.10 -0.18 -0.37  0.26  0.02 -0.08 0.28
val_10       0.01  0.35 -0.05 -0.08  0.19  0.07  0.33  0.08 -0.18  0.07 0.32
val_11       0.21  0.08 -0.03  0.02  0.17  0.28  0.19 -0.02 -0.12 -0.12 0.22
val_12       0.06  0.10  0.17  0.24  0.09 -0.01  0.18  0.53  0.10  0.05 0.44
val_13      -0.10  0.15 -0.11  0.05  0.17  0.07  0.34 -0.17 -0.09  0.04 0.23
val_14      -0.05  0.18  0.14 -0.03  0.15 -0.15  0.20  0.24 -0.04  0.13 0.21
val_15       0.02  0.15  0.09 -0.03  0.17  0.50  0.34 -0.08  0.01 -0.13 0.44
val_16       0.00  0.06  0.20 -0.02  0.11 -0.41  0.07  0.26  0.10  0.17 0.34
val_17      -0.17  0.14  0.06  0.18  0.38 -0.07  0.23 -0.08 -0.05  0.14 0.32
val_18       0.16  0.18  0.14  0.16  0.07  0.09  0.15  0.31 -0.04 -0.06 0.24
val_19      -0.05  0.12  0.03 -0.09 -0.04  0.29  0.14  0.21 -0.11  0.04 0.19
val_20       0.02  0.14  0.14  0.01  0.34 -0.15  0.09  0.06 -0.06  0.02 0.20
val_21       0.08  0.37 -0.10 -0.05  0.18  0.12  0.36  0.18 -0.12 -0.07 0.39
uh_1         0.59 -0.11  0.01  0.06  0.10  0.07 -0.02  0.15 -0.07 -0.05 0.41
uh_2         0.60 -0.21  0.02  0.03  0.11  0.07 -0.06  0.17  0.06 -0.28 0.54
uh_3         0.62 -0.03  0.15 -0.12  0.03  0.06 -0.06 -0.02 -0.08 -0.15 0.45
uh_4         0.49 -0.17  0.23  0.14  0.05  0.03  0.01 -0.13  0.27 -0.08 0.43
uh_5         0.50 -0.18  0.16  0.08 -0.10 -0.01  0.02 -0.03  0.25  0.41 0.56
uh_6         0.59 -0.18  0.02 -0.01  0.11  0.10 -0.13  0.04 -0.04 -0.07 0.43
uh_7         0.54 -0.20  0.00  0.00  0.13  0.05  0.05  0.13  0.08 -0.24 0.44
uh_8         0.46 -0.06  0.27  0.15 -0.02  0.15 -0.05 -0.05  0.04 -0.24 0.40
uh_9         0.68 -0.02 -0.08 -0.05  0.09  0.07 -0.09  0.05 -0.07 -0.08 0.50
uh_10        0.54  0.09  0.11  0.06 -0.28  0.04 -0.04  0.08  0.26  0.23 0.52
uh_11        0.61 -0.02  0.06  0.01  0.04  0.01  0.04  0.15  0.17  0.08 0.44
uh_12        0.57 -0.15  0.08  0.06 -0.06  0.09  0.08 -0.03  0.15  0.13 0.42
uh_13        0.35 -0.03  0.14  0.26 -0.28 -0.04 -0.16  0.03  0.25  0.21 0.43
uh_14        0.63  0.00  0.10 -0.12  0.04 -0.13 -0.11  0.10  0.03  0.04 0.47
uh_15        0.45 -0.11  0.10  0.25 -0.16  0.09  0.02  0.02  0.30  0.19 0.45
uh_16        0.44 -0.15 -0.06  0.08 -0.12  0.15 -0.02 -0.10  0.18  0.29 0.39
uh_17        0.62 -0.13 -0.10 -0.12  0.15  0.05  0.04  0.02  0.07  0.15 0.49
uh_18        0.49 -0.14  0.08  0.10 -0.08  0.00  0.05 -0.09  0.39  0.17 0.47
uh_19        0.36 -0.16  0.13  0.07  0.01  0.11 -0.03 -0.08  0.11  0.34 0.32
uh_20        0.56 -0.11  0.08  0.06  0.06  0.06 -0.10 -0.01  0.11 -0.05 0.37
uh_21        0.49 -0.17  0.18  0.10 -0.15  0.05  0.04 -0.15  0.32  0.34 0.58
uh_22        0.60 -0.10  0.10  0.01  0.01  0.10 -0.01 -0.15  0.18 -0.10 0.46
uh_23        0.37 -0.07  0.11  0.31 -0.15  0.07  0.00 -0.04  0.25  0.16 0.37
uh_24        0.62 -0.16  0.10 -0.06 -0.04 -0.08 -0.11  0.05  0.09  0.05 0.46
uh_25        0.60 -0.09 -0.04  0.02  0.08 -0.10  0.04  0.02  0.08  0.14 0.42
ili_1        0.16  0.03  0.61  0.20 -0.03  0.02  0.12 -0.04  0.09 -0.06 0.47
ili_2        0.16  0.04  0.40  0.40 -0.01  0.07 -0.04  0.21  0.01  0.07 0.40
ili_3        0.14 -0.05  0.32  0.19  0.00  0.23 -0.21  0.25 -0.01  0.04 0.32
ili_4        0.10 -0.09  0.42  0.26  0.14  0.23  0.05  0.09 -0.15  0.20 0.41
ili_5        0.16 -0.04  0.58  0.14 -0.09  0.11  0.07  0.01 -0.06  0.09 0.43
ili_6        0.02  0.07  0.25  0.24  0.12  0.10  0.10 -0.21 -0.08 -0.21 0.25
ili_7        0.26 -0.02  0.53  0.24  0.00  0.18  0.07  0.06 -0.03 -0.08 0.45
ili_8        0.04 -0.05  0.53  0.06  0.20  0.30  0.04 -0.01 -0.07  0.10 0.43
ili_9        0.02  0.09  0.64  0.04  0.03 -0.04  0.07  0.02  0.10  0.02 0.44
ili_10       0.18  0.03  0.42  0.38  0.11  0.20 -0.02  0.00  0.03 -0.04 0.41
ili_11       0.15 -0.08  0.59  0.09  0.06  0.22 -0.12  0.05  0.14 -0.01 0.47
ili_12       0.16 -0.06  0.41  0.10  0.10  0.32 -0.10  0.06  0.00  0.22 0.38
ili_13       0.08  0.04  0.63  0.29  0.07  0.10  0.06  0.02  0.00  0.05 0.51
ili_14       0.13 -0.03  0.31  0.51  0.07  0.09 -0.09  0.25 -0.02 -0.01 0.46
ili_15       0.00 -0.02  0.42  0.24  0.06  0.17  0.00  0.08  0.00  0.04 0.28
bfi_1       -0.06  0.04  0.06  0.05  0.09  0.17  0.72  0.00  0.03  0.07 0.57
bfi_2R      -0.02  0.28  0.02  0.02  0.20  0.08 -0.16 -0.44 -0.07 -0.03 0.35
bfi_3        0.03 -0.12  0.50  0.20  0.26 -0.08 -0.07  0.11  0.01 -0.01 0.39
bfi_4       -0.11  0.34 -0.22 -0.11  0.03  0.13 -0.34 -0.29 -0.11  0.04 0.42
bfi_5        0.05 -0.06  0.09  0.02  0.17  0.63  0.15 -0.07  0.09  0.03 0.48
bfi_6R       0.12  0.01  0.02  0.01 -0.12 -0.06 -0.62  0.06 -0.03  0.15 0.45
bfi_7        0.15 -0.20  0.12  0.16  0.02 -0.11 -0.10  0.60  0.08  0.01 0.49
bfi_8R      -0.05  0.35 -0.26 -0.06 -0.02  0.23 -0.05 -0.15 -0.21 -0.09 0.33
bfi_9R       0.58 -0.30 -0.01  0.16  0.17 -0.01  0.19  0.14  0.01 -0.08 0.54
bfi_10       0.20 -0.05  0.14  0.13  0.08  0.56  0.13  0.06  0.09 -0.06 0.43
bfi_11       0.04 -0.15  0.13  0.02  0.15  0.40  0.50  0.13 -0.04 -0.04 0.50
bfi_12R     -0.07  0.23 -0.09 -0.10  0.21  0.12  0.18 -0.36 -0.08  0.09 0.31
bfi_13      -0.05 -0.12  0.55  0.22  0.28 -0.05 -0.02  0.15 -0.05  0.07 0.48
bfi_14      -0.25  0.34  0.05  0.12  0.24  0.03 -0.16 -0.14  0.06  0.07 0.31
bfi_15       0.06 -0.13  0.19  0.23  0.08  0.44 -0.02 -0.02 -0.11  0.10 0.34
bfi_16      -0.08  0.01  0.21  0.16  0.13  0.27  0.55  0.18  0.06  0.10 0.51
bfi_17       0.18  0.08  0.11  0.17 -0.10  0.20 -0.09  0.45  0.03  0.06 0.34
bfi_18R      0.08  0.35 -0.33 -0.11 -0.24  0.25  0.00 -0.14  0.01 -0.05 0.39
bfi_19      -0.30  0.51  0.02 -0.05  0.06  0.01 -0.21 -0.02  0.07  0.21 0.45
bfi_20       0.12  0.17  0.06  0.15 -0.04  0.64  0.18 -0.11  0.12 -0.02 0.55
bfi_21R      0.09  0.09  0.01 -0.07 -0.02 -0.12 -0.78  0.01 -0.11  0.05 0.65
bfi_22       0.20  0.11  0.01  0.18  0.08  0.03  0.08  0.35  0.07  0.15 0.25
bfi_23R      0.07  0.41 -0.37 -0.01 -0.28  0.13 -0.05 -0.06 -0.14  0.19 0.47
bfi_24R      0.47 -0.20  0.06  0.13  0.04 -0.23  0.06  0.11  0.01 -0.09 0.36
bfi_25       0.20 -0.03  0.04  0.05  0.25  0.44  0.14 -0.07 -0.01  0.15 0.35
bfi_26      -0.09  0.03  0.17  0.17  0.31  0.12  0.41 -0.27  0.06  0.02 0.42
bfi_27R      0.03  0.37 -0.19  0.11  0.04 -0.01 -0.21 -0.37 -0.13  0.02 0.38
bfi_28       0.05 -0.15  0.40  0.17  0.37  0.06 -0.16  0.14  0.07 -0.10 0.42
bfi_29      -0.28  0.45 -0.14  0.04  0.13  0.13 -0.13 -0.20 -0.14  0.18 0.44
bfi_30       0.02  0.09  0.00 -0.10  0.00  0.52  0.07  0.04  0.03  0.04 0.29
bfi_31R     -0.03  0.16 -0.14 -0.04 -0.12 -0.04 -0.67  0.11 -0.10  0.12 0.54
bfi_32       0.01 -0.03  0.05  0.12 -0.06 -0.01 -0.06  0.69  0.12 -0.04 0.52
bfi_33      -0.05 -0.09  0.46  0.16  0.34  0.06 -0.02  0.15  0.04  0.06 0.40
bfi_34R      0.46 -0.15  0.00  0.29  0.26  0.02  0.15  0.11  0.00 -0.12 0.44
bfi_35R      0.01  0.16  0.30  0.10  0.03 -0.41 -0.14  0.03  0.01  0.21 0.36
bfi_36      -0.02  0.01  0.10  0.06  0.12  0.24  0.68  0.17  0.00  0.10 0.59
bfi_37R     -0.07  0.38  0.00 -0.02  0.08  0.03  0.06 -0.45 -0.11  0.06 0.38
bfi_38       0.00 -0.01  0.43  0.08  0.24 -0.01  0.20  0.07  0.00 -0.06 0.29
bfi_39      -0.33  0.51 -0.15 -0.02  0.00 -0.10 -0.33  0.01 -0.08  0.22 0.56
bfi_40       0.12  0.03 -0.03  0.32 -0.04  0.52  0.02  0.07  0.01  0.02 0.39
bfi_41R      0.02  0.05 -0.08 -0.05  0.08 -0.52 -0.16  0.02 -0.11 -0.04 0.33
bfi_42      -0.04 -0.04  0.21  0.15  0.08  0.03  0.25  0.57  0.17  0.05 0.49
bfi_43R     -0.02  0.52 -0.32  0.17 -0.13  0.13  0.04  0.05 -0.14 -0.19 0.49
bfi_44      -0.07  0.00 -0.05 -0.05  0.03  0.38  0.18 -0.02  0.06  0.10 0.20
ffmq_1      -0.12  0.03  0.14  0.23  0.22  0.30 -0.09  0.02  0.04  0.25 0.29
ffmq_2       0.04 -0.12  0.10  0.15 -0.05  0.21  0.42  0.18  0.11  0.17 0.34
ffmq_3R     -0.14  0.47 -0.23  0.10  0.02  0.19 -0.18 -0.03 -0.18 -0.09 0.41
ffmq_4R     -0.22  0.44 -0.14  0.06  0.17  0.13 -0.19 -0.06 -0.13  0.08 0.38
ffmq_5       0.23 -0.19  0.02  0.18 -0.02  0.15  0.12  0.12 -0.08 -0.02 0.18
ffmq_6      -0.07  0.31  0.00 -0.03  0.04  0.31  0.08  0.10 -0.05  0.05 0.22
ffmq_7R      0.03  0.27 -0.12 -0.08  0.08 -0.07 -0.40 -0.06 -0.25  0.03 0.33
ffmq_8R     -0.16  0.20  0.15  0.07  0.09 -0.08  0.01  0.00  0.06  0.02 0.11
ffmq_9R      0.05  0.37 -0.09  0.04  0.22  0.18 -0.36 -0.27 -0.14  0.13 0.47
ffmq_10      0.43 -0.12  0.06  0.20 -0.01 -0.03  0.03 -0.04 -0.07 -0.15 0.27
ffmq_11      0.08  0.12  0.09  0.12  0.04  0.33 -0.01  0.14  0.06 -0.07 0.18
ffmq_12      0.14 -0.16  0.07  0.12 -0.04  0.21  0.35  0.12  0.13  0.07 0.27
ffmq_13R    -0.13  0.43 -0.01  0.00  0.00  0.02 -0.13 -0.12 -0.16  0.00 0.26
ffmq_14R     0.01  0.48 -0.05 -0.03  0.14  0.20 -0.31 -0.24 -0.21  0.17 0.52
ffmq_15      0.39 -0.16  0.11 -0.01 -0.01 -0.15  0.04  0.10  0.11 -0.06 0.24
uh.vmi_1     0.31  0.00  0.13  0.10  0.18  0.09  0.10 -0.01  0.55 -0.04 0.47
uh.vmi_2     0.21 -0.17  0.00  0.18  0.11  0.07  0.05  0.06  0.69 -0.05 0.61
