Principal Components Analysis
Call: principal(r = sp17_facs, nfactors = 10, rotate = "varimax")
Standardized loadings (pattern matrix) based upon correlation matrix
              RC1   RC2  RC10   RC3   RC4   RC7   RC5   RC9   RC8   RC6    h2
val_1        0.25  0.07 -0.11  0.01  0.04  0.08  0.54  0.21 -0.04 -0.14 0.447
val_2       -0.14  0.06  0.04  0.09 -0.18 -0.07  0.28  0.24 -0.03  0.22 0.258
val_3       -0.19 -0.01  0.02  0.05  0.07  0.08  0.20 -0.08 -0.01 -0.05 0.102
val_4        0.07 -0.23 -0.03  0.04  0.07 -0.12  0.12  0.06  0.05  0.52 0.370
val_5       -0.18 -0.17 -0.04  0.00  0.04 -0.07  0.11 -0.21  0.10  0.45 0.331
val_6        0.30  0.21 -0.08  0.08  0.06  0.19  0.14  0.31 -0.10 -0.04 0.308
val_7       -0.02  0.04  0.01 -0.11  0.16 -0.02 -0.15 -0.04  0.14  0.47 0.304
val_8        0.05  0.25  0.15  0.02  0.14  0.18  0.20 -0.18 -0.02 -0.06 0.212
val_9       -0.12  0.17 -0.04  0.01  0.04  0.35  0.06 -0.32  0.06  0.12 0.293
val_10       0.06 -0.01 -0.18  0.40 -0.09  0.02  0.24  0.27 -0.11  0.11 0.355
val_11       0.17  0.17 -0.01 -0.10  0.11 -0.30  0.03 -0.16  0.04  0.13 0.212
val_12       0.07  0.10  0.11 -0.06  0.20  0.19  0.04 -0.09  0.24  0.09 0.180
val_13       0.04 -0.08  0.07 -0.02 -0.07  0.00  0.09  0.25 -0.02  0.48 0.323
val_14      -0.04 -0.06  0.15  0.00 -0.03  0.28  0.13  0.13  0.17  0.28 0.244
val_15       0.37  0.25 -0.13  0.10  0.00  0.07  0.36  0.36 -0.12 -0.04 0.510
val_16      -0.12 -0.03 -0.07 -0.04  0.06  0.16 -0.03 -0.23  0.02  0.51 0.364
val_17       0.00 -0.07  0.05 -0.05  0.10 -0.18  0.08 -0.11  0.03  0.53 0.355
val_18       0.21  0.04  0.09  0.01  0.13  0.01  0.05  0.03 -0.01  0.00 0.071
