            lhs op          rhs est.std    se       z pvalue
1          ffmq =~      ffmq_de   0.444 0.082   5.419  0.000
2          ffmq =~      ffmq_aa   0.040 0.083   0.476  0.634
3          ffmq =~      ffmq_nj   0.145 0.083   1.755  0.079
4          ffmq =~      ffmq_nr   0.510 0.084   6.063  0.000
5      leadChal =~ leadChal_bp1   0.777 0.035  22.022  0.000
6      leadChal =~ leadChal_bp2   0.878 0.027  32.669  0.000
7      leadChal =~ leadChal_bp3   0.883 0.026  33.336  0.000
8           dis =~      dis_avd   0.543 0.087   6.212  0.000
9           dis =~      dis_int   0.888 0.115   7.725  0.000
10           mt =~       mt_bp1   0.701 0.046  15.378  0.000
11           mt =~       mt_bp2   0.834 0.035  24.133  0.000
12           mt =~       mt_bp3   0.816 0.036  22.731  0.000
13          lnr =~      lnr_bp1   0.828 0.030  27.505  0.000
14          lnr =~      lnr_bp2   0.859 0.027  31.472  0.000
15          lnr =~      lnr_bp3   0.871 0.026  33.122  0.000
16          lnr  ~         ffmq   0.133 0.042   3.210  0.001
17          lnr  ~          dis  -0.284 0.092  -3.085  0.002
18          lnr  ~           mt   0.175 0.051   3.446  0.001
19     leadChal  ~          lnr   0.512 0.064   7.961  0.000
20         ffmq ~~          dis  -0.223 0.135  -1.653  0.098
21         ffmq ~~           mt   0.958 0.120   7.957  0.000
22          dis ~~           mt  -0.383 0.089  -4.288  0.000
23      ffmq_de ~~      ffmq_de   0.803 0.073  11.045  0.000
24      ffmq_aa ~~      ffmq_aa   0.998 0.007 151.624  0.000
25      ffmq_nj ~~      ffmq_nj   0.979 0.024  40.773  0.000
26      ffmq_nr ~~      ffmq_nr   0.740 0.086   8.621  0.000
27 leadChal_bp1 ~~ leadChal_bp1   0.396 0.055   7.224  0.000
28 leadChal_bp2 ~~ leadChal_bp2   0.229 0.047   4.859  0.000
29 leadChal_bp3 ~~ leadChal_bp3   0.220 0.047   4.691  0.000
30      dis_avd ~~      dis_avd   0.705 0.095   7.433  0.000
31      dis_int ~~      dis_int   0.211 0.204   1.034  0.301
32       mt_bp1 ~~       mt_bp1   0.508 0.064   7.940  0.000
33       mt_bp2 ~~       mt_bp2   0.304 0.058   5.274  0.000
34       mt_bp3 ~~       mt_bp3   0.334 0.059   5.708  0.000
35      lnr_bp1 ~~      lnr_bp1   0.315 0.050   6.322  0.000
36      lnr_bp2 ~~      lnr_bp2   0.262 0.047   5.582  0.000
37      lnr_bp3 ~~      lnr_bp3   0.241 0.046   5.258  0.000
38         ffmq ~~         ffmq   1.000 0.000      NA     NA
39     leadChal ~~     leadChal   0.738 0.066  11.212  0.000
40          dis ~~          dis   1.000 0.000      NA     NA
41           mt ~~           mt   1.000 0.000      NA     NA
42          lnr ~~          lnr   0.771 0.067  11.574  0.000
