            lhs op          rhs est.std    se      z pvalue
1          ffmq =~      ffmq_de   0.427 0.085  5.052  0.000
2          ffmq =~      ffmq_aa   0.084 0.079  1.062  0.288
3          ffmq =~      ffmq_nj   0.154 0.079  1.937  0.053
4          ffmq =~      ffmq_nr   0.476 0.087  5.479  0.000
5      leadChal =~ leadChal_bp1   0.775 0.035 21.860  0.000
6      leadChal =~ leadChal_bp2   0.887 0.026 34.050  0.000
7      leadChal =~ leadChal_bp3   0.875 0.027 32.550  0.000
8           dis =~      dis_avd   0.548 0.086  6.345  0.000
9           dis =~      dis_int   0.878 0.111  7.881  0.000
10           mt =~       mt_bp1   0.686 0.047 14.723  0.000
11           mt =~       mt_bp2   0.826 0.034 24.244  0.000
12           mt =~       mt_bp3   0.827 0.034 24.366  0.000
13          lnr =~      lnr_bp1   0.823 0.031 26.779  0.000
14          lnr =~      lnr_bp2   0.863 0.027 31.397  0.000
15          lnr =~      lnr_bp3   0.875 0.027 33.003  0.000
16          lnr  ~         ffmq   0.430 0.135  3.171  0.002
17          lnr  ~          dis  -0.271 0.105 -2.584  0.010
18           mt  ~          lnr  -0.183 0.230 -0.798  0.425
19     leadChal  ~           mt   0.549 0.063  8.694  0.000
20         ffmq ~~          dis  -0.264 0.142 -1.854  0.064
21         ffmq ~~           mt   1.008 0.129  7.781  0.000
22          dis ~~           mt  -0.426 0.094 -4.515  0.000
23      ffmq_de ~~      ffmq_de   0.817 0.072 11.315  0.000
24      ffmq_aa ~~      ffmq_aa   0.993 0.013 74.783  0.000
25      ffmq_nj ~~      ffmq_nj   0.976 0.024 40.035  0.000
26      ffmq_nr ~~      ffmq_nr   0.773 0.083  9.342  0.000
27 leadChal_bp1 ~~ leadChal_bp1   0.400 0.055  7.275  0.000
28 leadChal_bp2 ~~ leadChal_bp2   0.212 0.046  4.592  0.000
29 leadChal_bp3 ~~ leadChal_bp3   0.234 0.047  4.961  0.000
30      dis_avd ~~      dis_avd   0.700 0.095  7.397  0.000
31      dis_int ~~      dis_int   0.229 0.196  1.170  0.242
32       mt_bp1 ~~       mt_bp1   0.530 0.064  8.286  0.000
33       mt_bp2 ~~       mt_bp2   0.318 0.056  5.650  0.000
34       mt_bp3 ~~       mt_bp3   0.316 0.056  5.617  0.000
35      lnr_bp1 ~~      lnr_bp1   0.322 0.051  6.361  0.000
36      lnr_bp2 ~~      lnr_bp2   0.256 0.047  5.394  0.000
37      lnr_bp3 ~~      lnr_bp3   0.234 0.046  5.033  0.000
38         ffmq ~~         ffmq   1.000 0.000     NA     NA
39     leadChal ~~     leadChal   0.698 0.069 10.059  0.000
40          dis ~~          dis   1.000 0.000     NA     NA
41           mt ~~           mt   1.185 0.274  4.323  0.000
42          lnr ~~          lnr   0.681 0.114  5.975  0.000
